Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
23,BLENDERBOT,I am curious. Has blenderbot ever like by a agent? . ,I love them so much.,"as Anonymous dislike interest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? . ", i  love  them  so  much ,0.7395277261734009,0.9393874406814575,,,,,,,,,
24,Anonymous,I love them so much.,,"terest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much.",e ,0.05906828120350838,0.18109020590782166,,,,,,,,,
25,BLENDERBOT,,Do you have any pets?,"erest? .  I have a dog and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much. ", do  you  have  any  pets ,0.7976564526557922,0.9857303857803345,,,,,,,,,
26,Anonymous,Do you have any pets?,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ," and a cat. I just learned something, I had never heard about dog before! .  I love them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets?",i  have  heard  dog . they  told  me  about  it  on  aug  at ! .   ,0.28933146339841187,0.40555357560515404,,,,,,,,,
27,BLENDERBOT,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and a cat.,ove them so much.  Do you have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . , i  have  a  dog  and  a  cat ,0.8564472453934806,0.999299909387316,,,,,,,,,
28,Anonymous,I have a dog and a cat.,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,u have any pets? I did not know that! I had never heard about I before! .  I have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat., that  sounds  like db  told  me  about  it  in  2022  05  03 .   ,0.7060383925480502,0.8526303342410496,,,,,,,,,
29,BLENDERBOT,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,I love them so much., have a dog and a cat. I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . , i  love  them  so  much ,0.7998601794242859,0.9998546242713928,,,,,,,,,
30,Anonymous,I love them so much.,,. I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much.,  ,0.23146456480026245,0.23146456480026245,,,,,,,,,
31,BLENDERBOT,,Do you have any pets?, I am curious. Has blenderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much. , do  you  have  any  pets ,0.7999026775360107,0.9985204100608825,,,,,,,,,
32,Anonymous,Do you have any pets?,I am glad to have learned something new. I had never heard about pet before! . ,nderbot ever like by a agent? .  I love them so much.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets?,i  am  glad  i  have  learned  something ! i  had  never  thought  of  this  therapy !  i ,0.4489876642302774,0.625698488424806,,,,,,,,,
33,BLENDERBOT,I am glad to have learned something new. I had never heard about pet before! . ,I have a dog and a cat.,ave heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! . , i  have  a  dog  and  a  cat ,0.8570265940257481,0.9998806033815656,,,,,,,,,
34,Anonymous,I have a dog and a cat.,Let me ask you something. What types of Instance like dog do Instance usually have . ,lenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and a cat. This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat.," let  me  ask  you ,  what  kind  of  pets  a  what  and  you  cats  have ?  _ ",0.32840162085588365,0.5937448542784242,,,,,,,,,
35,BLENDERBOT,Let me ask you something. What types of Instance like dog do Instance usually have . ,I love them so much.,ds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have . , i  love  them  so  much ,0.7241174936294555,0.9238601922988892,,,,,,,,,
36,Anonymous,I love them so much.,,ot told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.,  ,0.3069033920764923,0.3069033920764923,,,,,,,,,
37,BLENDERBOT,,Do you have any pets?,t told me about it in 2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much. , do  you  have  any  pets ,0.7989981770515442,0.9937418699264526,,,,,,,,,
38,Anonymous,Do you have any pets?,If you don't mind me asking. Has Anonymous know agent? . ,2022 05 03T00:00:00 .  I love them so much.  Do you have any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets?," if  you  would  mind  me , do  you  been ? !  _ ",0.2925733672454953,0.4619647053380807,,,,,,,,,
39,BLENDERBOT,If you don't mind me asking. Has Anonymous know agent? . ,I have a dog and a cat., any pets? I am glad to have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? . , i  have  a  dog  and  a  cat ,0.8546903133392334,0.9975199103355408,,,,,,,,,
40,Anonymous,I have a dog and a cat.,I am curious. What types can blenderbot have . ,have learned something new. I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat.,i  am  wondering  what  pets  of  they  have ?  _ ,0.3878170371055603,0.6615367442369461,,,,,,,,,
41,BLENDERBOT,I am curious. What types can blenderbot have . ,I love them so much.,out pet before! .  I have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have . , i  love  them  so  much ,0.7943474888801575,0.994276225566864,,,,,,,,,
42,Anonymous,I love them so much.,,have a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.,e ,0.11391735076904297,0.11970597505569458,,,,,,,,,
43,BLENDERBOT,,Do you have any pets?,ave a dog and a cat. Let me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much. , do  you  have  any  pets ,0.7984371423721314,0.9945754051208496,,,,,,,,,
44,Anonymous,Do you have any pets?,If you don't mind me asking. Has Anonymous ever like by a agent? . ,et me ask you something. What types of Instance like dog do Instance usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets?, if  you  do  mind  me  asking has  been  know  signed  being  an  nickname .   ,0.439644156396389,0.6776642555991809,,,,,,,,,
45,BLENDERBOT,If you don't mind me asking. Has Anonymous ever like by a agent? . ,I have a dog and a cat.,ce usually have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? . , i  have  a  dog  and  a  cat ,0.8570419975689479,0.9998911363737923,,,,,,,,,
46,Anonymous,I have a dog and a cat.,Let me ask you something. Has blenderbot dislike interest? . ,e them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat., let  me  ask  you .  does  you  know  agent .   ,0.5054214935411107,0.7458007362755862,,,,,,,,,
47,BLENDERBOT,Let me ask you something. Has blenderbot dislike interest? . ,I love them so much.,king. Has Anonymous know agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? . , i  love  them  so  much ,0.7984003901481629,0.9983754515647888,,,,,,,,,
48,Anonymous,I love them so much.,,w agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.,e ,0.03447050228714943,0.10071427375078201,,,,,,,,,
49,BLENDERBOT,,Do you have any pets?, agent? .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much. , do  you  have  any  pets ,0.7996428608894348,0.9972757697105408,,,,,,,,,
50,Anonymous,Do you have any pets?,Let me ask you something. What types of Instance like pet do Instance usually have . ,g and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets?, let  me  ask  you  something  what  type  of  pets  or  what  -  you  like  have ?  _ ,0.3933388018871055,0.6308458022334996,,,,,,,,,
51,BLENDERBOT,Let me ask you something. What types of Instance like pet do Instance usually have . ,I have a dog and a cat.,you have any pets? If you don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have . , i  have  a  dog  and  a  cat ,0.8564810923167637,0.9993240833282471,,,,,,,,,
52,Anonymous,I have a dog and a cat.,I did not know that! I had never heard about dog before! . ,u don't mind me asking. Has Anonymous ever like by a agent? .  I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat.,i  did  not  know  that i  have  never  thought  of  them  lovers !  _ ,0.4128756177877741,0.6477534451654979,,,,,,,,,
53,BLENDERBOT,I did not know that! I had never heard about dog before! . ,I love them so much., I have a dog and a cat. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! . , i  love  them  so  much ,0.7757129311561585,0.9754193186759949,,,,,,,,,
54,Anonymous,I love them so much.,,at. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.,e ,0.09901607036590576,0.17730125784873962,,,,,,,,,
55,BLENDERBOT,,Do you have any pets?,t. Let me ask you something. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much. , do  you  have  any  pets ,0.7996870517730713,0.9865852355957031,,,,,,,,,
56,Anonymous,Do you have any pets?,If you don't mind me asking. Has Anonymous study at institution? . ,thing. Has blenderbot dislike interest? .  I love them so much.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets?, if  you  would  mind  me . does  she  been  the  all .   ,0.34927236740119183,0.5179319994953963,,,,,,,,,
57,BLENDERBOT,If you don't mind me asking. Has Anonymous study at institution? . ,I have a dog and a cat.,o you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? . , i  have  a  dog  and  a  cat ,0.8532824856894357,0.9960991229329791,,,,,,,,,
58,Anonymous,I have a dog and a cat.,I did not know that! I am excited to get to know about you! . , me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat.,i  did  not  know  that i  am  excited  to  get  to  know  more  it !  _ ,0.5719600236043334,0.6418830640614033,,,,,,,,,
59,BLENDERBOT,I did not know that! I am excited to get to know about you! . ,I love them so much.,nce usually have .  I have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! . , i  love  them  so  much ,0.7747906088829041,0.9746412754058837,,,,,,,,,
60,Anonymous,I love them so much.,, have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.,e ,0.06462495774030685,0.16850237548351288,,,,,,,,,
61,BLENDERBOT,,Do you have any pets?,have a dog and a cat. I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much. , do  you  have  any  pets ,0.7989576935768128,0.9963828802108765,,,,,,,,,
62,Anonymous,Do you have any pets?,I am curious. Has Anonymous perceive sensor? . ,I did not know that! I had never heard about dog before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets?,i  am . has  le  study  institution .   ,0.4155431456036038,0.7526997758282555,,,,,,,,,
63,BLENDERBOT,I am curious. Has Anonymous perceive sensor? . ,I have a dog and a cat.,og before! .  I love them so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? . , i  have  a  dog  and  a  cat ,0.8570896301950727,0.9999437928199768,,,,,,,,,
64,Anonymous,I have a dog and a cat.,If you don't mind me asking. What types can blenderbot have . ,m so much.  Do you have any pets? If you don't mind me asking. Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat., if  you  do  mind  me  asking  what  pet  does  you  detect ?  _ ,0.3501336876876079,0.6542543350503995,,,,,,,,,
65,BLENDERBOT,If you don't mind me asking. What types can blenderbot have . ,I love them so much.,Has Anonymous study at institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have . , i  love  them  so  much ,0.7786810517311096,0.9783010721206665,,,,,,,,,
66,Anonymous,I love them so much.,,institution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.,e ,0.05429883673787117,0.1475808173418045,,,,,,,,,
67,BLENDERBOT,,Do you have any pets?,nstitution? .  I have a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much. , do  you  have  any  pets ,0.7969912886619568,0.9857378959655761,,,,,,,,,
68,Anonymous,Do you have any pets?,I would like to know. Has Anonymous perceive sensor? . ,a dog and a cat. I did not know that! I am excited to get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets?, i  am  like  to . has  le  perceive  sensor .   ,0.6139702715656974,0.7808446423573927,,,,,,,,,
69,BLENDERBOT,I would like to know. Has Anonymous perceive sensor? . ,I have a dog and a cat.,get to know about you! .  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? . , i  have  a  dog  and  a  cat ,0.8571359600339618,0.9999874659946987,,,,,,,,,
70,Anonymous,I have a dog and a cat.,,  I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat., _ ,0.12348279356956482,0.22353364527225494,,,,,,,,,
71,BLENDERBOT,,I love them so much., I love them so much.  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat. , i  love  them  so  much ,0.7999815464019775,0.9999804973602295,,,,,,,,,
72,Anonymous,I love them so much.,,  Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.,  ,0.4522039294242859,0.4522039294242859,,,,,,,,,
73,BLENDERBOT,,Do you have any pets?, Do you have any pets? I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much. , do  you  have  any  pets ,0.7995798826217652,0.9968187212944031,,,,,,,,,
74,Anonymous,Do you have any pets?,I would like to know. What types of Instance like pet do Instance usually have . , I am curious. Has Anonymous perceive sensor? .  I have a dog and a cat. If you don't mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets?, i  would  like  to  know  what  types  of  pet  or  what bot  you bot  have ?   ,0.4576273805954877,0.7127598129651126,,,,,,,,,
75,BLENDERBOT,I would like to know. What types of Instance like pet do Instance usually have . ,I have a dog and a cat.,t mind me asking. What types can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have . , i  have  a  dog  and  a  cat ,0.8570868968963623,0.9999393565314156,,,,,,,,,
76,Anonymous,I have a dog and a cat.,I am curious. What types can blenderbot have . ,ypes can blenderbot have .  I love them so much.  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat.,i  am  wondering  what  pets  can  they  have .   ,0.6363984823226929,0.7551910266280174,,,,,,,,,
77,BLENDERBOT,I am curious. What types can blenderbot have . ,I love them so much.,  Do you have any pets? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have . , i  love  them  so  much ,0.7974201321601868,0.997391140460968,,,,,,,,,
