Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
33,BLENDERBOT,Please tell me more.,I had no idea what to expect but it turned out to be a great experience.,ys there for me when I need them. I see.  And what does that tell you? It tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more., i  had  no  idea  what  to  expect .  it  turned  out  to  be  a  great  experience ,0.836039736866951,0.883095808327198,,,,,,,,,
34,ELIZA,I had no idea what to expect but it turned out to be a great experience.,Very interesting., tells me that I need to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience., very  interesting ,0.4823501408100128,0.7688204348087311,,,,,,,,,
35,BLENDERBOT,Very interesting.,Yes,eed to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting., you ,0.0691225454211235,0.07150039821863174,,,,,,,,,
36,ELIZA,Yes,"OK, but can you elaborate a bit?",to get my life in order and that I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes,",  so  can  you  elaborate  a  little ",0.45840239950588774,0.701316773891449,,,,,,,,,
37,BLENDERBOT,"OK, but can you elaborate a bit?",Yes it was very interesting.,"I am ready for the next step. Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes OK, but can you elaborate a bit?", yes  it  was  very  interesting ,0.7014496922492981,0.8619085550308228,,,,,,,,,
38,ELIZA,Yes it was very interesting.,"OK, but can you elaborate a bit?"," Very interesting. Yes You seem quite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting.",ok  but  can  you  elaborate  a  bit ,0.7123178839683533,0.8889634715659278,,,,,,,,,
39,BLENDERBOT,"OK, but can you elaborate a bit?",I had no idea what to expect,"uite sure. Yes it was very interesting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit?", i  had  no  idea  what  to  expect ,0.9913141471999032,0.9913141471999032,,,,,,,,,
40,ELIZA,I had no idea what to expect,Let's change focus a bit... Tell me about your family.,"teresting. You seem quite sure. I had no idea what to expect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect",.  just  topics  a  bit  tell  me  about  your  experience ,0.46270446556445677,0.6964159399271012,,,,,,,,,
41,BLENDERBOT,Let's change focus a bit... Tell me about your family.,I had no idea what to expect but it turned out to be a great experience.,"xpect Please tell me more. I had no idea what to expect but it turned out to be a great experience. Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family.",i  had  no  idea  what  to  expect  but  it  turned  out  to  be  a  great  experience ,0.9085481986403465,0.9709626995027065,,,,,,,,,
42,ELIZA,I had no idea what to expect but it turned out to be a great experience.,Can you elaborate on that?," to be a great experience. Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience.", can  you  elaborate  on  it ,0.7580417513847351,0.8130368649959564,,,,,,,,,
43,BLENDERBOT,Can you elaborate on that?,Well,"Very interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that?", yes ,0.0,0.07526949048042297,,,,,,,,,
44,ELIZA,Well,I see.,"interesting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well", i  am ,0.4149731397628784,0.4787082374095917,,,,,,,,,
45,BLENDERBOT,I see.,Well I 'm not sure if I 'm going to be able to get the job.,"ting. Yes OK, but can you elaborate a bit? Yes it was very interesting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see.", but  i  am  not  sure  if  i  was  going  to  be  able  to  do  a  details ,0.6197761172952596,0.8085196129977703,,,,,,,,,
46,ELIZA,Well I 'm not sure if I 'm going to be able to get the job.,I see.,"nteresting. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job.", i  ' ,0.38538265228271484,0.4424564801156521,,,,,,,,,
47,BLENDERBOT,I see.,Yeah,"ing. OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see.",i ,0.0,0.07984078675508499,,,,,,,,,
48,ELIZA,Yeah,Why do you say that yeah?,"OK, but can you elaborate a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah"," why  do  you  think , ? ",0.3694661234815915,0.5375933796167374,,,,,,,,,
49,BLENDERBOT,Why do you say that yeah?,Yeah I 'm not sure what I 'm going to do with my life now.,a bit? I had no idea what to expect Let's change focus a bit... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah Why do you say that yeah?, well  i  am  not  sure  what  i  am  going  to  do  with  my  life . ,0.7178611222654581,0.8694120804468791,,,,,,,,,
50,ELIZA,Yeah I 'm not sure what I 'm going to do with my life now.,Let's change focus a bit... Tell me about your family.,t... Tell me about your family. I had no idea what to expect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah Why do you say that yeah? Yeah I 'm not sure what I 'm going to do with my life now., lets  just  topics  a  little Tell  me  about  your  family ,0.4497644507267978,0.7283477455377578,,,,,,,,,
51,BLENDERBOT,Let's change focus a bit... Tell me about your family.,My family is very supportive.,xpect but it turned out to be a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah Why do you say that yeah? Yeah I 'm not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family., my  family  is  very  interesting ,0.5823755025863647,0.6098124712705613,,,,,,,,,
52,ELIZA,My family is very supportive.,Why do you say that your family is very supportive?,a great experience. Can you elaborate on that? Well I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah Why do you say that yeah? Yeah I 'm not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive.,why  do  you  say  that  your  family  is  very  supportive ,0.7294288784265518,0.8260337561368942,,,,,,,,,
53,BLENDERBOT,Why do you say that your family is very supportive?,They are always there for me when I need them.,I see. Well I 'm not sure if I 'm going to be able to get the job. I see. Yeah Why do you say that yeah? Yeah I 'm not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive?, they  are  always  there  for  me  when  i  need  them ,0.854349684715271,0.8986158609390259,,,,,,,,,
54,ELIZA,They are always there for me when I need them.,they am always there for you when you need them.,ble to get the job. I see. Yeah Why do you say that yeah? Yeah I 'm not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them., i  are  always  there  for  you  when  you  need  them ,0.685324836257496,0.9019019663333893,,,,,,,,,
55,BLENDERBOT,they am always there for you when you need them.,That is so true.,at yeah? Yeah I 'm not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them.,that  is  very  important ,0.38931091874837875,0.5750252828001976,,,,,,,,,
56,ELIZA,That is so true.,How does that make you feel?,m not sure what I 'm going to do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true.,how  does  that  make  you ? ,0.7294143935044607,0.8561296264330546,,,,,,,,,
57,BLENDERBOT,How does that make you feel?,I am so grateful to have them in my life., do with my life now. Let's change focus a bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel?, i  am  very  lucky  to  have  them  in  my  life ,0.6750883344560862,0.8436122447252273,,,,,,,,,
58,ELIZA,I am so grateful to have them in my life.,Did you come to me because you are so grateful to have them in your life?, bit... Tell me about your family. My family is very supportive. Why do you say that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life., do  you  lie  to  me  because  you  were  not  happy  to  have  them  in  your  life ,0.5670657819136977,0.7185627799481153,,,,,,,,,
59,BLENDERBOT,Did you come to me because you are so grateful to have them in your life?,Yes,u say that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life?, _ ,0.0,0.16940973699092865,,,,,,,,,
60,ELIZA,Yes,You seem quite sure.,y that your family is very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes, you  am  so  nice ,0.19811188918538392,0.5544739291071892,,,,,,,,,
61,BLENDERBOT,You seem quite sure.,Yes I am so thankful for them., very supportive? They are always there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure., yes  i  am  very  grateful  for  them ,0.5289731706891742,0.6953476113932473,,,,,,,,,
62,ELIZA,Yes I am so thankful for them.,"OK, but can you elaborate a bit?",ys there for me when I need them. they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them.,hello  so  can  you  talk  a  little ,0.41460269902433666,0.6636013303484235,,,,,,,,,
63,BLENDERBOT,"OK, but can you elaborate a bit?",They have been there for me through so many hard times.," they am always there for you when you need them. That is so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them. OK, but can you elaborate a bit?", they  have  been  there  for  me  in  so  many  difficult  times ,0.7212091846899553,0.8163209340789102,,,,,,,,,
64,ELIZA,They have been there for me through so many hard times.,How do you feel when you say that?,"s so true. How does that make you feel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them. OK, but can you elaborate a bit? They have been there for me through so many hard times.", how  do  you  feel  when  you  hear  that ,0.7068987153470516,0.8003409057855606,,,,,,,,,
65,BLENDERBOT,How do you feel when you say that?,I feel like I need to do something about it,"eel? I am so grateful to have them in my life. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them. OK, but can you elaborate a bit? They have been there for me through so many hard times. How do you feel when you say that?",i  feel  like  i  need  to  do  something  about  that ,0.83116435110569,0.850905978679657,,,,,,,,,
66,ELIZA,I feel like I need to do something about it,"Good, tell me more about these feelings.","e. Did you come to me because you are so grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them. OK, but can you elaborate a bit? They have been there for me through so many hard times. How do you feel when you say that? I feel like I need to do something about it",.  tell  me  more  about  your  guys ,0.5412510570334105,0.8125382055129323,,,,,,,,,
67,BLENDERBOT,"Good, tell me more about these feelings.",I feel like I need to do something about it but I do n't know what to do.,"grateful to have them in your life? Yes You seem quite sure. Yes I am so thankful for them. OK, but can you elaborate a bit? They have been there for me through so many hard times. How do you feel when you say that? I feel like I need to do something about it Good, tell me more about these feelings.", i  feel  like  i  need  to  do  something  about  it  but  i  do  not  know  what  to  do ,0.8373440669642555,0.9441775911384158,,,,,,,,,
68,ELIZA,I feel like I need to do something about it but I do n't know what to do.,When do you usually feel like you need to do something about it but you do n't know what to do?,"hankful for them. OK, but can you elaborate a bit? They have been there for me through so many hard times. How do you feel when you say that? I feel like I need to do something about it Good, tell me more about these feelings. I feel like I need to do something about it but I do n't know what to do.", why  do  you  really  feel  like  you  need  to  do  something  about  something  but  you  do  not  know  what  to  do ,0.755184648081749,0.9157946081388564,,,,,,,,,
69,BLENDERBOT,When do you usually feel like you need to do something about it but you do n't know what to do?,I do n't know.,"ard times. How do you feel when you say that? I feel like I need to do something about it Good, tell me more about these feelings. I feel like I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do?", i  do  not  know ,0.4950263202190399,0.9094322323799133,,,,,,,,,
70,ELIZA,I do n't know.,How does that make you feel?,"do you feel when you say that? I feel like I need to do something about it Good, tell me more about these feelings. I feel like I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know.",how  does  that  make  you  feel ,0.6615638385216395,0.8083090831836065,,,,,,,,,
71,BLENDERBOT,How does that make you feel?,I feel like I ca n't do anything about it.,"? I feel like I need to do something about it Good, tell me more about these feelings. I feel like I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel?", i  feel  like  i  ca  not  do  anything  about  it ,0.7442355871200561,0.9185135543346405,,,,,,,,,
72,ELIZA,I feel like I ca n't do anything about it.,Let's chat!,"it Good, tell me more about these feelings. I feel like I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it.", great  talk ,0.0,0.48453451693058014,,,,,,,,,
73,BLENDERBOT,Let's chat!,What do you like to do in your free time?,l me more about these feelings. I feel like I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat!, what  do  you  like  to  do  in  your  spare  time ,0.7866687566041947,0.889211094379425,,,,,,,,,
74,ELIZA,What do you like to do in your free time?,Would you like to chat? I'll do my best to keep up,e I need to do something about it but I do n't know what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time?, would  you  like  to ?  i  try  my  best  to  keep  up ,0.6227815163632234,0.8081148018439611,,,,,,,,,
75,BLENDERBOT,Would you like to chat? I'll do my best to keep up,Sure, what to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up,. ,0.0,0.41691458225250244,,,,,,,,,
76,ELIZA,Sure,Please tell me more., to do. When do you usually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure, but  tell  me . ,0.4426237568259239,0.534173633903265,,,,,,,,,
77,BLENDERBOT,Please tell me more.,Sure what do you do for a living?,sually feel like you need to do something about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more.,so  what  do  you  do  for  a  living ,0.7180348709225655,0.8297194391489029,,,,,,,,,
78,ELIZA,Sure what do you do for a living?,Please consider whether you can answer your own question.,mething about it but you do n't know what to do? I do n't know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living?, i  consider  so  you  can  answer  your  next  questions ,0.34344618850284153,0.47028718226485783,,,,,,,,,
79,BLENDERBOT,Please consider whether you can answer your own question.,I 'm an accountant,know. How does that make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Please consider whether you can answer your own question.,i  am  an  engineer ,0.4918160067172721,0.8274864852428436,,,,,,,,,
80,ELIZA,I 'm an accountant,Very interesting., make you feel? I feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Please consider whether you can answer your own question. I 'm an accountant,.  i ,0.0004680756537709385,0.5671887397766113,,,,,,,,,
81,BLENDERBOT,Very interesting.,I 'm an accountant what about you?,feel like I ca n't do anything about it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Please consider whether you can answer your own question. I 'm an accountant Very interesting.,i  am  an  engineer  how  about  you ,0.4409880974063916,0.7990084162780217,,,,,,,,,
82,ELIZA,I 'm an accountant what about you?,Why do you ask that?,t it. Let's chat! What do you like to do in your free time? Would you like to chat? I'll do my best to keep up Sure Please tell me more. Sure what do you do for a living? Please consider whether you can answer your own question. I 'm an accountant Very interesting. I 'm an accountant what about you?, why  do  you  do ? ,0.532715829834342,0.8175998568534851,,,,,,,,,
