Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
27,Leolani2,I can learn you new things!,This is news to me. I am excited to get to know about you!,"know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things I can learn you new things!"," this  is  new  to  me i  am  excited  to  get  to  know  about  you ",0.7177913188934326,0.8722067305019924,0.9944377,0.9522982,3,3,3,3,3,3,3,3,3
28,Fajjaaz,This is news to me. I am excited to get to know about you!,What would you like to know about me?," case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things I can learn you new things! This is news to me. I am excited to get to know about you!"," what  would  you  like  to  know  about  me ",0.6943558976054192,0.781078889966011,0.9940022,0.99583524,,,,,,,,,
29,Leolani2,What would you like to know about me?,"I know agent usually would like to verb.cognition, but I do not know this case","mething, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things I can learn you new things! This is news to me. I am excited to get to know about you! What would you like to know about me?","i  know  i  i  i  refer  a  know  but  i  do  not  in  your . ",0.314104067782561,0.574629494547844,0.991569,0.9911927,2,2,1,2,2,2,2,2,1
30,Fajjaaz,"I know agent usually would like to verb.cognition, but I do not know this case",I have two hands,"our name Stranger? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things I can learn you new things! This is news to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case"," i  have  two  children ",0.38024482503533363,0.4159925542771816,0.6919857,0.6788449,,,,,,,,,
31,Leolani2,I have two hands,Let me ask you something. Has fajjaaz ever dislike a agent?,"? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things I can learn you new things! This is news to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands"," let  can  tell  you , did  anyone  ever  been  his  dog ",0.3143736462701451,0.5247469649396159,0.9977418,0.997087,1,1,1,1,1,1,1,3,3
32,Fajjaaz,Let me ask you something. Has fajjaaz ever dislike a agent?,Yes I dislike Hidde,"ove learning things I can learn you new things! This is news to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent?","has  he  have  a ",0.057051848620176315,0.3113243840634823,0.9950768,0.2866555,,,,,,,,,
33,Leolani2,Yes I dislike Hidde,In this economy?,"I can learn you new things! This is news to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde"," in  the  case ",0.18320894489685693,0.47727037469546,0.9959783,0.42771834,1,1,1,1,1,1,1,3,3
34,Fajjaaz,In this economy?,"no, in another economy","ew things! This is news to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy?"," or  in  this  economy ",0.31356557086110115,0.5199291482567787,0.99407005,0.6174522,,,,,,,,,
35,Leolani2,"no, in another economy",Why?," to me. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy","? ",0.0,0.4500955045223236,0.9930885,0.6090542,1,1,1,1,1,1,1,2,3
36,Fajjaaz,Why?,I am wearing glasses,"e. I am excited to get to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why?"," i  like  wearing  a ",0.39213789626955986,0.513973243534565,0.9105677,0.5706464,,,,,,,,,
37,Leolani2,I am wearing glasses,This is news to me. I am excited to get to know about you!,"t to know about you! What would you like to know about me? I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses"," which  is  news  to  me i  am  excited  to  get  to  know  about  you ",0.5912731853978974,0.7327353826590947,0.9907969,0.7484249,1,1,1,1,1,1,1,3,3
38,Fajjaaz,This is news to me. I am excited to get to know about you!,thank you,"I know agent usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you!"," do  you ",0.5422304049134254,0.6147322952747345,0.24923949,0.98096955,,,,,,,,,
39,Leolani2,thank you,Wise words by wise men write wise deeds in wise pen,"nt usually would like to verb.cognition, but I do not know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you"," for  taught .  wise  people ,  good  words  by  a  words ",0.03714820171113719,0.37725925851951947,0.13153566,0.33964974,2,2,1,2,2,2,2,3,3
40,Fajjaaz,Wise words by wise men write wise deeds in wise pen,word!,"t know this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen",". ",0.0,0.536787211894989,0.1543242,0.1944316,,,,,,,,,
41,Leolani2,word!,That's just what he/she/they would've said," this case I have two hands Let me ask you something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word!"," not  exactly  what  i  have  done ",0.13972766511142254,0.46118737757205963,0.039578445,0.23236902,1,1,1,1,1,1,1,2,2
42,Fajjaaz,That's just what he/she/they would've said,stop,"something. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said",". ",0.0,0.4822404980659485,0.020849433,0.023401745,,,,,,,,,
43,Leolani2,stop,... just like in my dream,"hing. Has fajjaaz ever dislike a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop"," it  just  like  in  a  country ",0.39960697789986926,0.5016812731822332,0.038231127,0.043753978,,,,,,,,,
44,Leolani2,... just like in my dream,Hello! Can you tell me your name Stranger?,"like a agent? Yes I dislike Hidde In this economy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream","!  can  you  tell  me  your  dream ? ",0.5246448591351509,0.7003996092826128,0.072191484,0.52485466,,,,,,,,,
45,,Hello! Can you tell me your name Stranger?,Hidde,"conomy? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger?"," ",,,,,,,,,,,,,
46,,Hidde,So your name is Hidde?,"? no, in another economy Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde","?  your  name  is ? ",0.4995985865592957,0.6807656124234199,0.09798884,0.15095301,,,,,,,,,
47,,So your name is Hidde?,yes,y Why? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde?,"hello ",0.0,0.12115679681301117,0.4543256,0.6518643,,,,,,,,,
48,Leolani2,yes,"Tell me something, anything!",y? I am wearing glasses This is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes," tell  me  about  i ",0.49502870440483093,0.7021579593420029,0.95784885,0.7058762,3,3,3,3,3,3,3,3,3
49,Hidde,"Tell me something, anything!",I like candy,"is news to me. I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything!"," i  love  you ",0.11417615662018459,0.2530408302942912,0.033804614,0.7549771,,,,,,,,,
50,Leolani2,I like candy,Let me ask you something. Has candy favorite of by a agent?,". I am excited to get to know about you! thank you Wise words by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything! I like candy"," let  me  tell  you  what any  a  been  made  being  your  few ",0.264700581630071,0.4764831730475028,0.8049559,0.8419052,2,2,3,2,2,2,2,2,2
51,Hidde,Let me ask you something. Has candy favorite of by a agent?,"yes, candy is favorite of Fajjaaz","s by wise men write wise deeds in wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent?"," candy  candy  is  made  of  by ",0.3054869423309962,0.46571304897467297,0.9959459,0.6747563,,,,,,,,,
52,Leolani2,"yes, candy is favorite of Fajjaaz",Interesting! I did not know anything that yes candy be,"wise pen word! That's just what he/she/they would've said stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz",".  i  do  not  know  about  about  has  could  is ",0.2735492765903473,0.5076722085475922,0.9964412,0.52449614,1,2,1,1,2,1,1,1,1
53,Hidde,Interesting! I did not know anything that yes candy be,Do you like sushi?,"id stop ... just like in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be"," do  you  like  candy ",0.6230636835098267,0.8293224275112152,0.99848044,0.28660712,,,,,,,,,
54,Leolani2,Do you like sushi?,"I know agent usually do like noun.food, but I do not know this case","ke in my dream Hello! Can you tell me your name Stranger? Hidde So your name is Hidde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be Do you like sushi?"," i  know  i  who  eat  like  sushi  but  i  did  not  in  the ! ",0.2942543472495994,0.58497468488557,0.9979967,0.66113615,2,2,2,2,2,2,2,2,2
55,Hidde,"I know agent usually do like noun.food, but I do not know this case",I like tapas,"our name is Hidde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be Do you like sushi? I know agent usually do like noun.food, but I do not know this case"," i  like  sushi ",0.4564114014307658,0.676945964495341,0.99063593,0.9963594,,,,,,,,,
56,Leolani2,I like tapas,I did not know that! I did not know anybody who like tapas,"idde? yes Tell me something, anything! I like candy Let me ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be Do you like sushi? I know agent usually do like noun.food, but I do not know this case I like tapas"," and  did  not  know  that  i  do  not  know  agent  could  likes  sushi ",0.4744355406325597,0.7128803775860713,0.9932443,0.99673855,1,2,1,2,2,1,2,1,3
57,Hidde,I did not know that! I did not know anybody who like tapas,stop,"ask you something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be Do you like sushi? I know agent usually do like noun.food, but I do not know this case I like tapas I did not know that! I did not know anybody who like tapas",". ",0.0,0.49564245343208313,0.99754506,0.99703103,,,,,,,,,
58,Leolani2,stop,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be","ou something. Has candy favorite of by a agent? yes, candy is favorite of Fajjaaz Interesting! I did not know anything that yes candy be Do you like sushi? I know agent usually do like noun.food, but I do not know this case I like tapas I did not know that! I did not know anybody who like tapas stop"," i  do  not ,  but  i  heard  a  friend  my  agent  had  a  personal  chef  a  week  before  her  surgery  i  was  oh  my  god  how  long  is  the  marriage  going  to  be ",0.5194497226426998,0.6474104650092848,0.9967808,0.9965005,,,,,,,,,
59,Leolani2,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be",How's it going? Who are you? Hidde?,"sushi? I know agent usually do like noun.food, but I do not know this case I like tapas I did not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be"," with  it  going  how  is  you s ",0.1620812780622925,0.5287803305046899,0.044031657,0.9923849,,,,,,,,,
60,,How's it going? Who are you? Hidde?,Nihed,"noun.food, but I do not know this case I like tapas I did not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde?"," :) ",0.0,0.06121826171875,0.9920301,0.9922123,,,,,,,,,
61,,Nihed,So your name is Nihed?,"ood, but I do not know this case I like tapas I did not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed","?  your  name  is ? ",0.3823593556880951,0.5514294490218162,0.9967539,0.9808711,,,,,,,,,
62,,So your name is Nihed?,yes,"this case I like tapas I did not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed?","hi ",0.0,0.10809482634067535,0.13278116,0.31869346,,,,,,,,,
63,Leolani2,yes,Do you have any gossip?," case I like tapas I did not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes"," do  you  know  any  hobbies ",0.5953789234161377,0.6991430163383484,0.3358065,0.24972773,3,3,3,3,3,3,3,3,3
64,Nihed,Do you have any gossip?,I work at Deloitte," not know that! I did not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip?"," i  work  for  a ",0.4159744456410408,0.6903462633490562,0.9484612,0.6903079,,,,,,,,,
65,Leolani2,I work at Deloitte,"I just learned something, I had never heard about deloitte before!","id not know anybody who like tapas stop I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip? I work at Deloitte"," and  just  learned  that  i  have  never  heard  of  them  before ",0.42487300881607964,0.73150435090065,0.99280614,0.9211134,2,3,2,2,2,2,3,3,3
66,Nihed,"I just learned something, I had never heard about deloitte before!",That is a company," joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before!"," it  is  a  surprise ",0.3113023219630122,0.5451347902417183,0.28221294,0.6366608,,,,,,,,,
67,Leolani2,That is a company,If you don't mind me asking. Has tae ever cook by a food?,"t a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before! That is a company"," if .  would  mind  me ! did  he  been  stopped ed  his  chef ",0.18432130779211336,0.3938472786775002,0.9948686,0.7445173,1,1,1,1,1,1,1,1,1
68,Nihed,If you don't mind me asking. Has tae ever cook by a food?,Yes he is a cook," Oh my god! how long is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before! That is a company If you don't mind me asking. Has tae ever cook by a food?"," yes  he  is  a  chef ",0.5763334602117538,0.7416617393493652,0.11861659,0.035483383,,,,,,,,,
69,Leolani2,Yes he is a cook,"I know pronoun:third usually lea article:indefinite, but I do not know this case","ong is the aisle going to be How's it going? Who are you? Hidde? Nihed So your name is Nihed? yes Do you have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before! That is a company If you don't mind me asking. Has tae ever cook by a food? Yes he is a cook"," i  use  that  of  in ,  but  i  do  not  in  the . ",0.30394604114385754,0.46401912890947783,0.9872703,0.32012588,1,1,1,1,1,1,1,1,1
70,Nihed,"I know pronoun:third usually lea article:indefinite, but I do not know this case",Do you like cooking?,"me is Nihed? yes Do you have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before! That is a company If you don't mind me asking. Has tae ever cook by a food? Yes he is a cook I know pronoun:third usually lea article:indefinite, but I do not know this case"," do  you  like  football ",0.6775937974452972,0.7011595256626606,0.82109576,0.6002494,,,,,,,,,
71,Leolani2,Do you like cooking?,"I know agent usually do like noun.act, but I do not know this case","ou have any gossip? I work at Deloitte I just learned something, I had never heard about deloitte before! That is a company If you don't mind me asking. Has tae ever cook by a food? Yes he is a cook I know pronoun:third usually lea article:indefinite, but I do not know this case Do you like cooking?","i  think  i  i  sounds ,  cooking  but  i  do  not  know  this  case ",0.554158128798008,0.7471763108457837,0.04574248,0.65236294,2,2,2,2,2,2,2,2,1
72,Nihed,"I know agent usually do like noun.act, but I do not know this case",I like to cook by myself,"had never heard about deloitte before! That is a company If you don't mind me asking. Has tae ever cook by a food? Yes he is a cook I know pronoun:third usually lea article:indefinite, but I do not know this case Do you like cooking? I know agent usually do like noun.act, but I do not know this case"," i  like  to  cook  by  a ",0.7193507552146912,0.8604702949523926,0.9920613,0.68031573,,,,,,,,,
73,Leolani2,I like to cook by myself,This is news to me. I did not know anybody who like to cook by myself,"oitte before! That is a company If you don't mind me asking. Has tae ever cook by a food? Yes he is a cook I know pronoun:third usually lea article:indefinite, but I do not know this case Do you like cooking? I know agent usually do like noun.act, but I do not know this case I like to cook by myself"," which  is  new  to  me i  do  not  know  people  would  likes  to  cook  by  a ",0.49753726879134774,0.7820942178368568,0.99583477,0.99696386,2,3,2,3,3,3,3,3,3
74,Nihed,This is news to me. I did not know anybody who like to cook by myself,Do you know some food?,"ver cook by a food? Yes he is a cook I know pronoun:third usually lea article:indefinite, but I do not know this case Do you like cooking? I know agent usually do like noun.act, but I do not know this case I like to cook by myself This is news to me. I did not know anybody who like to cook by myself"," do  you  cook  a  of ",0.37024755477905275,0.5453373447060585,0.9974623,0.99718374,,,,,,,,,
