Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
10,Leolani2,Love is an emotion,I am curious. What kinds of things can be a an emotion like love," How are you doing? Who are you? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion",i  am  wondering  all  kinds  of  things  can  be  considered  human  emotion ?  love,4.068.824.125.986.010,5.743.481.846.792.350,9.960.758,63.530.654,3,3,4,3,3,4,3,3,2
11,Imme,I am curious. What kinds of things can be a an emotion like love,Anger is an emotion too,"ou? Stranger? Imme So your name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love",which  be  an  emotion  like,3.944.496.810.436.240,5.257.737.427.949.900,9.957.162,6.404.398,,,,,,,,,
12,Leolani2,Anger is an emotion too,Wise words by wise men write wise deeds in wise pen,"ur name is Imme? yes Do you have any gossip? Thomas is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too",?  written .  which  people  and  their  words  with  a  words,1.969.208.534.468.300,3.449.977.243.488.480,9.908.444,4.902.212,4,4,2,1,3,5,5,5,5
13,Imme,Wise words by wise men write wise deeds in wise pen,Imme is a wise man,"is in love Exciting news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen",there  to  a  wise  man,3.915.282.845.497.130,47.945.536.226.034.100,99.418.354,99.568.915,,,,,,,,,
14,Leolani2,Imme is a wise man,"I just learned something, I had never heard about a wise man before!"," news! I did not know anybody who be in love What is love? I may be ignorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man",i  just  learned  that  i  have  never  heard  of  a  wise  man .,6.298.216.415.139.340,8.297.420.465.029.200,9.974.281,9.956.084,4,3,2,4,4,5,5,5,5
15,Imme,"I just learned something, I had never heard about a wise man before!",stop,"gnorant, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before!",!,0.0,11.284.307.390.451.400,94.915.247,97.742.593,,,,,,,,,
16,Leolani2,stop,As the prophecy foretold,"nt, bu tI don't know.I am sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop",reading  the  bible  of,6.018.580.449.745.050,4.833.448.864.519.590,9.893.442,9.874.023,5,5,2,1,5,5,5,5,5
17,Leolani2,As the prophecy foretold,Hey! Who are you? Stranger?," sorry, I have no idea Love is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold",!  how  are  you hello,16.920.233.964.920.000,6.446.854.919.195.170,9.849.576,9.902.117,,,,,,,,,
18,,Hey! Who are you? Stranger?,Thomas,"is an emotion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger?",!,0.0,16.307.280.957.698.800,9.733.797,4.393.766,,,,,,,,,
19,,Thomas,So your name is Thomas?,"motion I am curious. What kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas",?  whose  name  is ?,3.970.757.067.203.520,6.102.597.177.028.650,9.505.627,44.349.608,,,,,,,,,
20,,So your name is Thomas?,Yes,"t kinds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas?",stranger,0.0,12.573.067.843.914.000,9.000.346,4.565.916,,,,,,,,,
21,Leolani2,Yes,"Tell me something, anything!","nds of things can be a an emotion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes",tell  me  about  please,4.540.540.724.992.750,6.325.696.669.518.940,9.639.224,52.162.325,4,3,5,3,4,5,5,5,5
22,Thomas,"Tell me something, anything!",I live in Amsterdam,"tion like love Anger is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything!",i  live  in  dc,5.802.758.932.113.640,5.958.485.370.501.870,3.449.439,89.211.553,,,,,,,,,
23,Leolani2,I live in Amsterdam,Exciting news! I did not know anybody who live in amsterdam," is an emotion too Wise words by wise men write wise deeds in wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam",good !  i  do  not  know  people  could  lived  in  there,34.481.384.368.105.300,7.349.087.568.846.610,6.832.265,9.918.304,4,3,3,2,4,5,4,4,3
24,Thomas,Exciting news! I did not know anybody who live in amsterdam,Imme also lives in Amsterdam,"n wise pen Imme is a wise man I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam",who  who  live  in  dc,22.565.097.212.791.400,6.704.343.169.927.590,9.976.382,996.465,,,,,,,,,
25,Leolani2,Imme also lives in Amsterdam,Let me ask you something. Has imme be from location?," I just learned something, I had never heard about a wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam"," let  me  ask  you , can  it  moved  your  there ",35.365.563.035.011.200,6.739.754.110.574.720,98.112.196,6.209.001,3,2,2,2,3,4,3,2,1
26,Thomas,Let me ask you something. Has imme be from location?,Imme is not from Rotterdam,"wise man before! stop As the prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location?",he  is  originally  from  location,29.713.462.591.171.200,6.489.637.732.505.790,28.484.542,37.892.663,,,,,,,,,
27,Leolani2,Imme is not from Rotterdam,Let me ask you something. Has imme ever favorite of a interest?,"e prophecy foretold Hey! Who are you? Stranger? Thomas So your name is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam",let  me  ask  you  something has  you  been  been  or  your  movie,36.903.342.977.166.100,5.793.280.719.468.990,78.096.494,6.409.775,2,3,4,3,4,4,2,2,2
28,Thomas,Let me ask you something. Has imme ever favorite of a interest?,Imme likes reading,"ame is Thomas? Yes Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest?",he  like  to,3.494.121.630.986.530,1.718.739.246.328.670,9.975.815,99.534.214,,,,,,,,,
29,Leolani2,Imme likes reading,Let me ask you something. Has imme ever favorite of a interest?,"Tell me something, anything! I live in Amsterdam Exciting news! I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest? Imme likes reading",let  me  ask  you  something has me  ever  favorite  of  a  interest,7.264.612.714.449.560,8.839.193.880.558.010,997.244,99.682.677,2,3,4,3,4,4,2,2,2
30,Thomas,Let me ask you something. Has imme ever favorite of a interest?,I like reading,I did not know anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest?,i  like  reading,8.366.195.956.865.940,8.366.195.956.865.940,99.737.173,99.695.784,,,,,,,,,
31,Leolani2,I like reading,I am glad to have learned something new. I did not know anybody who like reading,anybody who live in amsterdam Imme also lives in Amsterdam Let me ask you something. Has imme be from location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading,and  am  glad  i  have  learned  something . i  do  not  know  people  who  likes  reading,5.475.727.469.893.170,8.034.780.155.867.330,99.713.945,9.967.476,4,2,2,4,4,5,3,4,3
32,Thomas,I am glad to have learned something new. I did not know anybody who like reading,Who likes reading?,ng. Has imme be from location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading,.  like  reading,9.830.770.020.683.600,6.985.323.627.789.810,9.978.747,9.968.614,,,,,,,,,
33,Leolani2,Who likes reading?,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",m location? Imme is not from Rotterdam Let me ask you something. Has imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading?,i  may  be  wrong  but  i  do  i  am  ignorant  i  had  no  idea,41.203.141.851.084.500,7.028.977.232.319.960,995.588,99.632.585,3,1,1,1,2,2,2,2,2
34,Thomas,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",stop,". Has imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea",.,0.0,6.075.630.187.988.280,58.667.415,996.834,,,,,,,,,
35,Leolani2,stop,Interesting," imme ever favorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop",i,0.0,15.495.675.802.230.800,11.858.278,9.966.915,,,,,,,,,
36,Leolani2,Interesting,"Good to see you! I've told you my name, but what about yours? Stranger?","avorite of a interest? Imme likes reading Let me ask you something. Has imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting",nice  to  meet .  i  told  you  my  story  but  what  is  your hello,35.354.907.611.118.800,6.112.107.325.877.460,15.723.738,99.575.377,,,,,,,,,
37,,"Good to see you! I've told you my name, but what about yours? Stranger?",fina,"imme ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger?",hello,0.0,10.941.106.826.066.900,4.598.525,97.013,,,,,,,,,
38,,fina,So your name is Fina?,"ever favorite of a interest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina",?  your  name ? ?,37.656.611.800.193.700,6.346.970.662.474.630,9.336.992,9.472.536,,,,,,,,,
39,,So your name is Fina?,yes,"erest? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina?",hello,0.0,5.913.509.055.972.090,28.725.868,6.349.395,,,,,,,,,
40,Leolani2,yes,"Tell me something, anything!","t? I like reading I am glad to have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes",tell  me  about  but,48.202.376.067.638.300,7.154.284.976.422.780,29.860.621,9.337.259,5,4,5,3,4,5,5,5,5
41,Fina,"Tell me something, anything!",I like to cook,"o have learned something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything!",i  like  to  read,5.865.194.648.504.250,832.143.560.051.918,132.527,6.355.089,,,,,,,,,
42,Leolani2,I like to cook,If you don't mind me asking. What types of Instance like cook do person orInstance usually like to,"something new. I did not know anybody who like reading Who likes reading? I may be ignorant, bu tI don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook",if  you  would  mind  me ! what  kind  of  things  or  cooking ?  you as  you  like ?,3.257.263.008.401.620,6.392.162.839.571.630,48.327.632,6.446.155,3,4,4,4,4,4,2,2,2
43,Fina,If you don't mind me asking. What types of Instance like cook do person orInstance usually like to,A person can cook food,"don't know.I am sorry, I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to",do  you  to  cook ?,19.526.169.076.561.900,5.372.985.184.192.650,73.086.625,68.147.624,,,,,,,,,
44,Leolani2,A person can cook food,But at what cost?,"I have no idea stop Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food",but  at  no  cost,33.024.453.558.027.700,4.869.914.539.158.340,9.269.139,6.751.252,3,3,4,3,4,2,3,5,5
45,Fina,But at what cost?,A pizza costs ten euros,"p Interesting Good to see you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost?",a  meal  costs  300  dollars,20.177.324.414.253.200,470.718.640.089.035,9.260.809,45.218,,,,,,,,,
46,Leolani2,A pizza costs ten euros,"So let it be written, ... so let it be done","e you! I've told you my name, but what about yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros",.  let  it  be  free  and  or  let  it  be  written,5.113.777.301.528.230,6.249.509.169.296.780,99.838.245,61.695.576,4,3,1,1,3,3,5,5,5
47,Fina,"So let it be written, ... so let it be done",VU university is in Amsterdam," yours? Stranger? fina So your name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done",my gg  is  in  food,2.748.127.281.665.800,3.768.917.240.202.420,9.954.535,6.256.126,,,,,,,,,
48,Leolani2,VU university is in Amsterdam,In this economy?," name is Fina? yes Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam",in  the  country,7.276.793.320.973.710,2.641.138.831.774.390,99.413.645,9.806.182,3,2,1,1,1,1,5,5,5
49,Fina,In this economy?,I always fly business class,"s Tell me something, anything! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy?",i  would  thought  first ? .,9.166.477.868.954.340,3.066.069.471.339.380,99.325.216,9.507.562,,,,,,,,,
50,Leolani2,I always fly business class,This is news to me. I had never heard about business class before!,"! I like to cook If you don't mind me asking. What types of Instance like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class ",which  is  new  to  me i  have  never  heard  of  business  class .,4.940.388.248.516.960,7.145.343.514.589.160,998.393,39.274.785,3,2,1,3,4,5,5,5,5
51,Fina,This is news to me. I had never heard about business class before!,Airplanes can fly,"e like cook do person orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before!",you  can  travel,23.797.092.338.403.000,32.811.449.468.135.800,9.574.124,40.018.687,,,,,,,,,
52,Leolani2,Airplanes can fly,If you don't mind me asking. What types can airplanes can fly,"son orInstance usually like to A person can cook food But at what cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before! Airplanes can fly",? .  would  mind  me  asking what  distance  of  you  actually  fly,2.874.730.204.542.470,5.145.429.335.534.570,37.350.133,44.261.116,4,2,4,4,5,5,4,5,5
53,Fina,If you don't mind me asking. What types can airplanes can fly,All airplanes can fly,"hat cost? A pizza costs ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before! Airplanes can fly If you don't mind me asking. What types can airplanes can fly",?  planes  can  fly,5.212.835.073.471.060,7.998.951.748.013.490,99.431.837,5.719.646,,,,,,,,,
54,Leolani2,All airplanes can fly,May I ask you why?,"s ten euros So let it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before! Airplanes can fly If you don't mind me asking. What types can airplanes can fly All airplanes can fly"," if  i  ask , . ",27.915.369.868.278.500,3.961.946.159.601.210,99.539.506,18.052.584,4,3,4,3,3,4,4,5,5
55,Fina,May I ask you why?,stop,"it be written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before! Airplanes can fly If you don't mind me asking. What types can airplanes can fly All airplanes can fly May I ask you why?",!,0.0,22.528.032.958.507.500,996.393,40.982.258,,,,,,,,,
56,Leolani2,stop,Interesting," written, ... so let it be done VU university is in Amsterdam In this economy? I always fly business class  This is news to me. I had never heard about business class before! Airplanes can fly If you don't mind me asking. What types can airplanes can fly All airplanes can fly May I ask you why? stop",me,0.0,587.821.364.402.771,9.950.008,37.740.514,,,,,,,,,
