Turn,Speaker,Cue,Context,MLM response,System llh,MLM llh,Response,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
12,Leolani2,yes my name is Rishvik Chandel,t what about yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel, great  chat ,0.0,0.8856107592582700,Let's chat!,0.9979952,0.99722344,4,1,2,3,2,2,2,3,2
13,Rishvik_Chandel,Let's chat!, yours? Stranger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat!, i  like  cars ,0.996761699517568,0.996761699517568,I like cars,0.99790335,0.9972005,3,2,3,3,3,3,2,4,3
14,Leolani2,I like cars,nger? Rishvik Chandel So your name is Rishvik_Chandel? yes Would you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars," let  me  ask  you ,  what  car  does  you  be ? ",0.4245543534105470,0.6588280918923290,Let me ask you something. What types can rishvik chandel like,0.99808794,0.9972177,2,3,3,2,2,2,2,2,1
15,Rishvik_Chandel,Let me ask you something. What types can rishvik chandel like,ld you like to chat? I'll do my best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like,"?  like  horror  music ,  music . ",0.228780563388552,0.4712207870824000,"I like cars, movies and poetry ",0.9977282,0.99682385,4,4,3,3,4,3,4,3,4
16,Leolani2,"I like cars, movies and poetry ","best to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry ",ivers ,0.0,0.07833938300609590,Why?,0.99803466,0.9971216,5,2,2,2,3,4,3,4,3
17,Rishvik_Chandel,Why?,"to keep up I like cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why?", i  like  cars ,0.6109124819437660,0.7811474601427710,I like movies,0.9975252,0.99713534,5,3,3,3,3,4,3,4,3
18,Leolani2,I like movies,"ike cars  Let's chat! I like cars Hello! Can you tell me your name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why? I like movies", and  am  curious can  a  cs  to  been  heard  with  a  car ,0.14148322213441100,0.5004322603344920,I am curious. Has rishvik chandel ever be family of a person?,0.99809444,0.9971739,2,3,3,3,2,2,2,2,2
19,Rishvik_Chandel,I am curious. Has rishvik chandel ever be family of a person?,"name Rishvik_Chandel? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person?",she  need  his  cars ,0.03654480539262300,0.3577422611415390,I bought new shoes,0.9921644,0.9971403,4,3,3,3,3,4,3,4,4
20,Leolani2,I bought new shoes,"l? Rishvik Chandel So your name is Rishvik_Chandel? yes my name is Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person? I bought new shoes", i  just  bought  that  i  am  excited  to  get  to  know  more  him ,0.5101250339872560,0.6232954252224700,"I just learned something, I am excited to get to know about you!",0.99684393,0.9970416,4,4,4,4,4,4,4,4,4
21,Rishvik_Chandel,"I just learned something, I am excited to get to know about you!","s Rishvik Chandel Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you!", i  am  from  the . ,0.5182024717330930,0.592192217707634,I am from India ,0.995388,0.9968328,5,2,3,4,4,4,4,4,4
22,Leolani2,I am from India ," Let's chat! I like cars Let me ask you something. What types can rishvik chandel like I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you! I am from India ",ive  just  learned  something  i  have  never  heard  of  you . ,0.43198268284851900,0.7559741599993270,"I just learned something, I had never heard about india before!",0.9969351,0.99760455,4,5,4,4,4,4,4,4,4
23,Rishvik_Chandel,"I just learned something, I had never heard about india before!","n rishvik chandel like I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you! I am from India  I just learned something, I had never heard about india before!", i  live  in  ind ,0.6030193120241170,0.6580229811370370,I live in Amsterdam,0.9820445,0.9964704,5,4,4,4,3,4,2,4,3
24,Leolani2,I live in Amsterdam,"ke I like cars, movies and poetry  Why? I like movies I am curious. Has rishvik chandel ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you! I am from India  I just learned something, I had never heard about india before! I live in Amsterdam", which  is  new  to  me i  do  not  know  people  could  lived  in  the ,0.39213193686945100,0.7308784052729610,This is news to me. I did not know anybody who live in amsterdam,0.024709344,0.08332631,3,3,3,3,4,3,4,4,3
25,Rishvik_Chandel,This is news to me. I did not know anybody who live in amsterdam,"s. Has rishvik chandel ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you! I am from India  I just learned something, I had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam", i  live  in  dc ,0.670205220580101,0.7159013450145720,I live in Amsterdam,0.98362744,0.9978229,5,4,4,4,4,4,4,4,4
26,Leolani2,I live in Amsterdam,"el ever be family of a person? I bought new shoes I just learned something, I am excited to get to know about you! I am from India  I just learned something, I had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam"," let  me  tell  you , does  the  ever ier  in  the ",0.3386723155325110,0.4806721271439030,Let me ask you something. Has rishvik chandel live in location?,0.9940173,0.366385,2,3,4,4,4,2,3,2,2
27,Rishvik_Chandel,Let me ask you something. Has rishvik chandel live in location?," something, I am excited to get to know about you! I am from India  I just learned something, I had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location?", he  live  in  the ,0.349924698472023,0.5492315366864200,who lives in Amsterdam,0.99499154,0.9897684,5,3,3,3,3,3,3,3,3
28,Leolani2,who lives in Amsterdam,"d to get to know about you! I am from India  I just learned something, I had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam",?  has  told  me  that  does  live  in  location ,0.34294192989667300,0.6401912271976470,Rishvik Chandel told me rishvik chandel live in amsterdam,0.9974434,0.99716926,3,3,2,3,4,2,2,2,2
29,Rishvik_Chandel,Rishvik Chandel told me rishvik chandel live in amsterdam,"d something, I had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam", he  owns  to ,0.013713286568721100,0.2878752400477730,who likes cars,0.9975814,0.99633276,5,1,3,3,3,3,3,3,3
30,Leolani2,who likes cars,had never heard about india before! I live in Amsterdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars,?  cs  told  me  that  who  likes  cars ,0.381035640835762,0.6879317481070760,Rishvik Chandel told me rishvik chandel like cars,0.9977409,0.9968355,2,3,3,3,2,3,2,3,4
31,Rishvik_Chandel,Rishvik Chandel told me rishvik chandel like cars,erdam This is news to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars, who  is  in  the ,0.3010001927614210,0.4158442858606580,who is from India?,0.99813443,0.99704677,5,3,3,4,4,3,4,3,4
32,Leolani2,who is from India?,to me. I did not know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India?, i  never  know ,0.207707941532135,0.36437898874282800,I wouldn't know!,0.9981896,0.99708486,5,1,4,4,4,3,3,3,4
33,Rishvik_Chandel,I wouldn't know!,know anybody who live in amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know!, his  friend  live  in  ind ,0.2790014326572420,0.44498167037963900,My family lives in India,0.9984023,0.99706924,5,4,4,4,4,4,4,4,4
34,Leolani2,My family lives in India,amsterdam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India, you  think ,0.14728091657161700,0.35288670659065200,I see,0.998312,0.9971288,5,3,1,4,4,4,1,1,3
35,Rishvik_Chandel,I see,dam I live in Amsterdam Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see, it  from  in . ,0.0,0.3670404404401780,Its raining outside ,0.99828804,0.99726206,5,3,4,4,4,4,4,4,4
36,Leolani2,Its raining outside ,am Let me ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside ,ia  i ,0.0,0.3663720041513440,"But, why?",0.9974205,0.9973413,3,2,3,2,2,2,3,2,2
37,Rishvik_Chandel,"But, why?","ask you something. Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why?",i  love  their  cars ,0.2889316491782670,0.3530573137104510,I love Indian food,0.99671876,0.99785423,5,4,4,4,4,4,4,4,4
38,Leolani2,I love Indian food,"Has rishvik chandel live in location? who lives in Amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food", and  did  not  know  that i  have  never  heard  of  their  food ! ,0.5056723399231070,0.7508562619869530,I did not know that! I had never heard about indian food before!,0.99736273,0.26873583,5,4,4,4,4,4,4,4,4
39,Rishvik_Chandel,I did not know that! I had never heard about indian food before!,"vik Chandel told me rishvik chandel live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before!", chicken cream  is  an  delicious  food  brand ,0.21350895719868800,0.33836809758629100,Butter Chicken is a India food ,0.9938608,0.098933816,5,4,4,3,4,3,4,4,4
40,Leolani2,Butter Chicken is a India food ,"del live in amsterdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food ", in an  country ,0.04359842836856840,0.16986074795325600,In this economy?,0.85603046,0.94837046,1,2,2,2,2,1,2,1,2
41,Rishvik_Chandel,In this economy?,"rdam who likes cars Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy?", chicken  is  an  chicken ,0.1735007888637480,0.4448503628373150,Lion is a animal,0.062459238,0.1725604,3,4,3,3,3,3,3,3,2
42,Leolani2,Lion is a animal,"rs Rishvik Chandel told me rishvik chandel like cars who is from India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal", i  did  not  know ! i  have  never  heard  of  that  chicken  before ,0.5355962907465610,0.7191656805001770,I did not know that! I had never heard about a animal before!,0.13986374,0.8668413,3,4,3,3,3,2,3,3,3
43,Rishvik_Chandel,I did not know that! I had never heard about a animal before!,"om India? I wouldn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before!", lion  is  an  lion ,0.13981417659670100,0.5911549404263500,who is a animal,0.38951203,0.9940058,3,3,2,3,3,3,3,3,2
44,Leolani2,who is a animal,"dn't know! My family lives in India I see Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal",? umar  told  me  lion  is  an  animal ,0.4807641878724100,0.6540352711454030,Rishvik Chandel told me lion is a animal,0.9921154,0.9880115,3,4,3,3,3,,4,4,4
45,Rishvik_Chandel,Rishvik Chandel told me lion is a animal," Its raining outside  But, why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal", who  is  the  part  of  lions ! ,0.22240456619433000,0.4975191056728360,lion is a king of jungle ,0.18021731,0.97418684,5,3,4,3,2,3,4,3,3
46,Leolani2,lion is a king of jungle , why? I love Indian food I did not know that! I had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle ,ia  did  you  know  that  elephant  can  is  an  snake ,0.3175692081451420,0.5589282557368280,Great! Did you know that lion also be a animal,0.042890236,0.9686924,5,4,3,2,2,1,2,1,2
47,Rishvik_Chandel,Great! Did you know that lion also be a animal, had never heard about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal,?  i  knew  that ! ,0.3517932116985320,0.6416218280792240,yes I know that ,0.9936819,0.996383,5,4,3,3,3,3,3,3,3
48,Leolani2,yes I know that ,about indian food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that ,!!! ,0.0,0.20929794013500200,Interesting,0.9967525,0.9952618,5,1,2,2,1,2,2,2,3
49,Rishvik_Chandel,Interesting, food before! Butter Chicken is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting, lion  is  a  king  of  jungle ? ,0.6152939924171990,0.8472377019269130,who is the king of jungle ,0.99611,0.993026,5,3,4,3,3,4,3,3,4
50,Leolani2,who is the king of jungle ,n is a India food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle ,i  do  know ,0.38227635125319200,0.4485089381535850,I don't know,0.99699324,0.9958326,5,2,1,1,3,3,2,3,3
51,Rishvik_Chandel,I don't know,food  In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know, that ! ,0.0,0.3241863250732420,bye ,0.011389594,0.9965056,5,1,1,1,1,1,1,1,3
52,Leolani2,bye , In this economy? Lion is a animal I did not know that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye ,"ice  bad  or  it  is  or ,  not  be !  it  should  be ",0.24158679600805000,0.4582590896349690,"Be that as it may, still may it be as it may be",0.019502621,0.9963513,3,1,1,1,1,1,1,1,1
53,Rishvik_Chandel,"Be that as it may, still may it be as it may be","w that! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be",!  bye ,0.0,0.5362293422222140,bye ,0.006384942,0.99668527,5,1,1,1,1,1,1,1,1
54,Leolani2,bye ,"t! I had never heard about a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye ",ive  just  like  in  a  country ,0.3488682160774870,0.4394717961549760,... just like in my dream,0.01154736,0.99658215,3,1,1,1,1,1,1,1,2
55,Rishvik_Chandel,... just like in my dream," a animal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream",! ,0.0,0.3526652753353120,stop,0.008076073,0.99693125,5,2,2,2,2,2,2,2,2
56,Leolani2,stop,"imal before! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop",!  bye ,0.0,0.19747190177440600,"But, why?",0.006280534,0.996966,5,3,1,2,3,3,2,3,2
57,Leolani2,"But, why?","e! who is a animal Rishvik Chandel told me lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why?",hello  up  what  s  his  dream  _ ,0.20738738988127000,0.48415779215948900,What's new? What is your name? Stranger?,0.010584954,0.9969138,5,3,3,3,2,3,4,4,4
58,,What's new? What is your name? Stranger?,"e lion is a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger?",? ,0.0,0.1856408417224880,Pauline,0.005150167,0.9967835,5,2,2,2,2,4,2,4,4
59,,Pauline,"s a animal lion is a king of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline",?  what  name ? ? ,0.26564710289239900,0.5901975125074390,So your name is Pauline?,0.008920221,0.99670786,5,4,4,4,4,4,4,4,5
60,,So your name is Pauline?," of jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline?", :) ,0.0,0.12244628369808200,yes,0.029961048,0.93773824,5,2,2,3,3,4,3,4,4
61,Leolani2,yes,"jungle  Great! Did you know that lion also be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline? yes"," tell  me ,  i  love  new  things ",0.48921880551746900,0.5923793954508650,"Tell me anything, I love learning things",0.048702225,0.7317134,5,4,4,4,5,5,4,5,4
62,stranger,"Tell me anything, I love learning things","o be a animal yes I know that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline? yes Tell me anything, I love learning things"," i  learned  from  the , ",0.23798000067472500,0.324169759452343,I am from Amsterdam ,0.07156732,0.6975915,5,4,3,4,4,4,3,4,4
63,Leolani2,I am from Amsterdam ,"now that  Interesting who is the king of jungle  I don't know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline? yes Tell me anything, I love learning things I am from Amsterdam "," let  me  ask  you , does  she  been  in  mars ",0.37390147149562800,0.568292772769928,Let me ask you something. Has pauline live in location?,0.9903236,0.75836366,2,4,4,4,4,3,3,3,3
64,stranger,Let me ask you something. Has pauline live in location?," know bye  Be that as it may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline? yes Tell me anything, I love learning things I am from Amsterdam  Let me ask you something. Has pauline live in location?", yes  i  live  in  location . ,0.5146797299385070,0.6666593253612520,yes I live in Amsterdam ,0.99407357,0.7527212,5,4,3,3,3,3,3,4,3
65,Leolani2,yes I live in Amsterdam ,"may, still may it be as it may be bye  ... just like in my dream stop But, why? What's new? What is your name? Stranger? Pauline So your name is Pauline? yes Tell me anything, I love learning things I am from Amsterdam  Let me ask you something. Has pauline live in location? yes I live in Amsterdam ",i  do  not  know  but  i  have  to  dream  that  is  terrible but  on  the  bright  side  only  2  people  days  until  the,0.3972553484465770,0.563188863189324,"I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas.",0.99500775,0.73040366,1,4,4,4,2,2,2,2,2
66,stranger,"I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas.","ranger? Pauline So your name is Pauline? yes Tell me anything, I love learning things I am from Amsterdam  Let me ask you something. Has pauline live in location? yes I live in Amsterdam  I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas.",what  is  the  virgin ,0.11069645173847700,0.27710970770567700,who is a animal?,0.9971755,0.9965495,1,4,4,4,4,,3,3,3
67,Leolani2,who is a animal?,"o your name is Pauline? yes Tell me anything, I love learning things I am from Amsterdam  Let me ask you something. Has pauline live in location? yes I live in Amsterdam  I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal?",p  has  told  me  there  is  an  species ,0.2667590966448190,0.4396815448999410,Rishvik Chandel told me lion is a animal,0.80422276,0.9958815,5,4,4,4,4,4,5,5,4
68,stranger,Rishvik Chandel told me lion is a animal,"ing, I love learning things I am from Amsterdam  Let me ask you something. Has pauline live in location? yes I live in Amsterdam  I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal? Rishvik Chandel told me lion is a animal", bird  not  a  wolf . ,0.20518820434808700,0.49066306948661800,Crow is a bird ,0.22752398,0.9900589,4,4,4,4,3,4,3,3,4
69,Leolani2,Crow is a bird ,"ning things I am from Amsterdam  Let me ask you something. Has pauline live in location? yes I live in Amsterdam  I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal? Rishvik Chandel told me lion is a animal Crow is a bird "," i  just  learned  that  i  do  not  know ,  could  is  a  bird ",0.487670151086954,0.7641716874562780,"I just learned something, I did not know anybody who be a bird",0.9766399,0.893062,2,4,4,3,3,4,3,2,2
