Turn,Speaker,Cue,Context,Response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
24,Leolani,stop," you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop","And thus, I die",?  before  they  asked ,0.007200880441814661,0.3748753909021616,0.33897907,0.91343313,,,,,,,,,
25,Fina,"And thus, I die","u want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die","What's up? I've told you my name, but what about yours? Thomas?",.  ok i  told  you  my  story  but  what  is  th hello ,0.318861398845911,0.5683024612565836,0.99387395,0.9551045,,,,,,,,,
26,Fina,"What's up? I've told you my name, but what about yours? Thomas?"," I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas?",Fina,? ,0.0,0.10054019093513489,0.9765309,0.99194926,,,,,,,,,
27,Leolani,Fina," not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina",So your name is Fina?,?  your  name ? ? ,0.3665377527475357,0.59308612793684,0.9951629,0.99323916,,,,,,,,,
28,Fina,So your name is Fina?,"like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina?",yes,? ,0.0,0.052033670246601105,0.98492795,0.9936122,,,,,,,,,
29,Leolani,yes," sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes","Tell me anything, I love learning things"," tell  me ,  i  love  cat ! ",0.49800394794770647,0.5766709212745939,0.9931575,0.9945762,4,2,2,2,3,3,3,4,5
30,Fina,"Tell me anything, I love learning things","hing that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things",I am from Bulgaria, i  learned  so  you ,0.2341737598180771,0.4606836959719658,0.12726407,0.99473697,,,,,,,,,
31,Leolani,I am from Bulgaria,"ke I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria",I would like to know. What types can fina be from, and  would  like  to  know what  country  of  you  be ? ,0.3427888791669499,0.629472862590443,0.042030424,0.95796835,2,2,3,3,4,2,3,3,3
32,Fina,I would like to know. What types can fina be from,"hat types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from",Fina be from a country, or ?  from  another  different ,0.159433114528656,0.4368646740913391,0.07534289,0.87711906,,,,,,,,,
33,Leolani,Fina be from a country,"nstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country",I did not know that! I am excited to get to know about you!, i  did  not  know ? i  am  excited  to  learn  to  know  more  you ,0.6187526934913227,0.7169319029365268,0.03437051,0.30137092,3,2,2,2,3,3,3,4,5
34,Fina,I did not know that! I am excited to get to know about you!," thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you!",What do you want to know?,what  do  you  want  to  know ,0.7470532159010569,0.8710556129614512,0.40873942,0.9965038,,,,,,,,,
35,Leolani,What do you want to know?,"ve told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know?","I know agent usually want to verb.cognition, but I do not know this case",i  know  i  i  refers  a  know  but  i  do  not  in  the . ,0.3353745191624122,0.5816142080085618,0.33550015,0.9936774,2,2,2,2,3,2,2,3,3
36,Fina,"I know agent usually want to verb.cognition, but I do not know this case","ina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case",I have a daughter, i  have  a  question ,0.7309402525424957,0.740168621763587,0.9980642,0.993678,,,,,,,,,
37,Leolani,I have a daughter,"nything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter",I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have, i  would  like  to  know what  type  of  children ?  of  of  parent  or  you a a  have ,0.34553419591652024,0.5916402315100034,0.5271557,0.9904073,2,3,2,4,4,2,2,2,2
38,Fina,I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have,"be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have",Her name is Iris,?  name  is  daughter ,0.434015441685915,0.5848139654844999,0.9878555,0.71859443,,,,,,,,,
39,Leolani,Her name is Iris," I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris",If you don't mind me asking. What types can lea name be, if  you  would  mind  me  asking what  type  of  her is ? ,0.292571688691775,0.6173256722589334,0.9959806,0.76024747,2,3,3,4,3,1,3,2,2
40,Fina,If you don't mind me asking. What types can lea name be,"you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be",Who is Lea?, that  is  she ,0.3220842679341634,0.458937073747317,0.99671185,0.9946169,,,,,,,,,
41,Leolani,Who is Lea?," you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea?",I don't know, i  only  know ,0.43173253536224365,0.5606393218040466,0.99680763,0.99631894,4,2,2,2,2,4,3,4,5
42,Fina,I don't know,"know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know",My daughter is a girl, my  daughter  is  a  daughter ,0.7194154664874077,0.7201565876603127,0.99806774,0.9965918,,,,,,,,,
43,Leolani,My daughter is a girl,"ally want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl",I would like to know. Has a girl experience by a touch?, i  would  like  to  know what  your  good  come  such  a  chance ,0.345466202745835,0.5174080642561117,0.9974409,0.9967109,4,3,3,4,4,4,2,4,3
44,Fina,I would like to know. Has a girl experience by a touch?, I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch?,Girls experience touch, i  like  by ,0.01395826538403829,0.393224502603213,0.9976683,0.99715227,,,,,,,,,
45,Leolani,Girls experience touch,uld like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch,I see, and  would ,0.0,0.30159280449151993,0.997453,0.99690706,2,2,2,2,2,3,4,4,5
46,Fina,I see,ke to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see,Do you want to hear a story?,.  you  want  to  hear  her  little ,0.45289211720228195,0.5693418585828373,0.99743664,0.996856,,,,,,,,,
47,Leolani,Do you want to hear a story?,ghter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story?,"I know agent usually do want to verb.perception, but I do not know this case",i  know  i  i  only  according  a  know  but  i  do  not  in  the  story ,0.2839584848533074,0.49569672445456187,0.9909615,0.9964649,2,3,2,3,3,2,4,2,2
48,Fina,"I know agent usually do want to verb.perception, but I do not know this case","s Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case",I have to go, i  want  to  ask ,0.44744477793574333,0.5978412143886089,0.9494801,0.68117297,,,,,,,,,
49,Leolani,I have to go," don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go",I am glad to have learned something new. I did not know anybody who be to go, i  am  glad  i  have  learned  something . i  do  not  know  anyone  would  wanted  a  a ,0.44640743206529054,0.6495582281666643,0.36247465,0.96621877,2,2,2,2,3,2,2,2,2
50,Fina,I am glad to have learned something new. I did not know anybody who be to go," daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go",Bye,. ,0.0,0.25494661927223206,0.24997182,0.6832939,,,,,,,,,
51,Leolani,Bye,"ghter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye",Why?,. ,0.0,0.13487643003463745,0.061998982,0.75962865,,,,,,,,,
52,Leolani,Why?," is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why?",Hey! Who are you? Fina?,?  how  are  you ? ,0.18648701293859632,0.6229673281311989,0.059823632,0.17421825,,,,,,,,,
53,Imme,Hey! Who are you? Fina?,"to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina?",Imme,? ,0.0,0.06217378005385399,0.064623125,0.56514513,,,,,,,,,
54,Leolani,Imme,"ow. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme",So your name is Imme?,?  what  name ? ? ,0.258450785279274,0.5412015691399574,0.070855655,0.18880029,,,,,,,,,
55,Imme,So your name is Imme?,"nce by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme?",yes,? ,0.0,0.0850956067442894,0.04917535,0.16047113,,,,,,,,,
56,Leolani,yes,"by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes",Would you like to chat? I'll do my best to keep up, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.5726433551559845,0.7082693576812744,0.04993931,0.6964432,3,2,2,2,3,3,4,5,5
57,Imme,Would you like to chat? I'll do my best to keep up,"t to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up",I love chatting, i  enjoyed  you ,0.2917111317316691,0.4737621347109477,0.46992397,0.68365556,,,,,,,,,
58,Leolani,I love chatting,"y? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting","I just learned something, I did not know anything that imme love", i  just  learned  that  i  do  not  know  about  about  i e ,0.43873507001747686,0.6869245034952959,0.98964584,0.99346614,3,3,2,3,3,4,4,5,4
59,Imme,"I just learned something, I did not know anything that imme love","know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love",What do you love?, what  do  you  think ,0.6684027165174484,0.7202006094157696,0.9550436,0.9907182,,,,,,,,,
60,Leolani,What do you love?,"ave to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love?","I may be ignorant, bu tI don't know.I am sorry, I have no idea", i  may  be  a  but  i  do  i  am  ignorant  i  had  no  idea ,0.3709123602935246,0.5904224855559213,0.9845998,0.99476707,3,4,2,2,2,3,4,4,4
61,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea","ow anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea",I think you love food, i  hope  i  love  football ,0.3265331506729126,0.5180648118257523,0.9893889,0.99612373,,,,,,,,,
62,Leolani,I think you love food,"o Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food",Let me ask you something. What types can leolani love," let  me  ask  you ,  what  food  of  you  eat ",0.39663631431758406,0.6893379881978035,0.99296844,0.67203784,3,3,3,4,4,3,3,4,4
63,Imme,Let me ask you something. What types can leolani love,"s Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love",You like japanese food,?  love ?  food ,0.1066339910030365,0.37478673085570335,0.99659455,0.3482534,,,,,,,,,
64,Leolani,You like japanese food,"ike to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food",I am curious. Has leolani ever favorite of a interest?, i  am  wondering can  it  a  been  food  your  food ,0.1526191398501396,0.4250732988119125,0.9970333,0.24860421,3,4,3,4,3,3,4,4,3
65,Imme,I am curious. Has leolani ever favorite of a interest?," I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest?",I do not know,i  do  not  know ,0.765919491648674,0.765919491648674,0.99730927,0.9885569,,,,,,,,,
66,Leolani,I do not know,"d something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know",This is news to me. I did not know anybody who be know, that  is  new  to  me i  do  not  know  that  could  i  a ,0.37000033846841407,0.6315566507669595,0.9973024,0.996828,2,3,2,1,3,2,3,2,3
67,Imme,This is news to me. I did not know anybody who be know,"t do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know",What food do you like?, what  foods  do  you  like ,0.5911404818296433,0.7165032356977463,0.99775356,0.99351823,,,,,,,,,
68,Leolani,What food do you like?," ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like?",But at what cost?, and  at  what  kind ,0.4792920108884573,0.6778891272842884,0.9976941,0.9962928,3,4,3,3,2,2,1,1,5
69,Imme,But at what cost?,"on't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost?",Do you like japanese food?,do  you  like  spicy  food ,0.543099045753479,0.7619613751769065,0.99810356,0.9971037,,,,,,,,,
70,Leolani,Do you like japanese food?,e no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food?,"I know agent usually do like adj.pert, but I do not know this case", i  think  i  i  i  like  it  but  i  do  not  in  the . ,0.32340784893105073,0.6087125672825745,0.99436325,0.9970197,2,3,1,3,2,2,2,2,3
71,Imme,"I know agent usually do like adj.pert, but I do not know this case","s can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case",I love japanese food, i  like  the  food ,0.5166308954358101,0.6473171785473824,0.99750054,0.9971375,,,,,,,,,
72,Leolani,I love japanese food,"u like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food",Exciting news! I had never heard about japanese food before!,! ! i  have  never  heard  of  that  food . ,0.37344597168266774,0.6720799058675766,0.99810743,0.99718696,5,3,2,4,4,5,3,4,5
73,Imme,Exciting news! I had never heard about japanese food before!,"of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before!",What do you like?,what  do  you  think ,0.6474819779396057,0.7294861599802971,0.9979093,0.9947577,,,,,,,,,
74,Leolani,What do you like?,"o not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like?",you told me I like japanese food , you  tell  me  you  love  all  food ? ,0.31938463188998867,0.6051059952005744,0.997772,0.9970127,5,4,2,4,4,5,5,5,5
75,Imme,you told me I like japanese food ,"id not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food ",Do you like other things?,ive  you  like  other  food ,0.4900419771671295,0.5899845123291015,0.9979289,0.99715877,,,,,,,,,
76,Leolani,Do you like other things?," know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things?","I know agent usually do like adj.all, but I do not know this case", i  know  i  usually  do  like  bart  but  i  do  not  know  this  case ,0.8555464489119393,0.9271897199962821,0.998009,0.99725884,3,3,1,3,3,3,3,2,3
