,Turn,Speaker,Cue,Context,System response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
19,19,Thomas,I know agent usually want to verb.cognition but I do not know this case,I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case,I like sushi,.  like  to,0.1247117221,0.2930025905,0.998419,0.6918686,,,,,,,,,
20,20,Leolani2,I like sushi,titution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi,Exciting news! I did not know anything that thomas like,good ! i  do  not  know  either  about  i  was,0.2258648448,0.6244896829,0.9966193,0.9970807,3,1,3,2,3,1,3,5,4
21,21,Thomas,Exciting news! I did not know anything that thomas like,touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi Exciting news! I did not know anything that thomas like,I also like cats,i  also  like  sushi,0.3327085841,0.5784401167,0.9977317,0.9963596,,,,,,,,,
22,22,Leolani2,I also like cats,perience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats,If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like,if  you  do  mind  me  asking what  kind  of  animal  are  of ? ?  you  i omas  like,0.3487104671,0.6018532395,0.99736065,0.99652666,2,1,2,2,3,1,2,2,2
23,23,Thomas,If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like,about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like,stop,?,0,0.979224503,0.23861364,0.86894774,,,,,,,,,
24,24,Leolani2,stop,t you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop,And thus I die,me  before  they  asked,0,0.2319941036,0.23285557,0.8475286,,,,,,,,,
25,25,Leolani2,And thus I die,you want to know? I know agent usually want to verb.cognition but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die,What's up? I've told you my name but what about yours? Thomas?,".  ok i  told  you  my  story ,  what  is  th hello ",0.2601761092,0.5250532453,0.9960771,0.96122825,,,,,,,,,
26,26,Fina,What's up? I've told you my name but what about yours? Thomas?,ut I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas?,Fina,?,0,0.09499991685,0.98664665,0.99052674,,,,,,,,,
27,27,Leolani2,Fina,do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina,So your name is Fina?,?  your  name  is ?,0.3899727166,0.5742592789,0.99472487,0.9948099,,,,,,,,,
28,28,Fina,So your name is Fina?,I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina?,yes,?,0,0.06949452311,0.9891305,0.99280006,,,,,,,,,
29,29,Leolani2,yes,ke sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes,Tell me anything I love learning things,tell  me  more  i  like  cat  about,0.4255243008,0.5663589814,0.9939426,0.9943281,5,3,5,5,5,5,5,5,5
30,30,Fina,Tell me anything I love learning things,nything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things,I am from Bulgaria,i  learned  so  the,0.2731427401,0.3802160658,0.35139057,0.99495584,,,,,,,,,
31,31,Leolani2,I am from Bulgaria,like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things I am from Bulgaria,I would like to know. What types can fina be from,and  would  like  to  know what  country  of  you  come ?,0.3327097771,0.6286595044,0.0859445,0.9527872,3,2,3,3,3,2,3,4,3
32,32,Fina,I would like to know. What types can fina be from,. What types of animal orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things I am from Bulgaria I would like to know. What types can fina be from,Fina be from a country,or  is  from  another  country,0.1822230846,0.4735285699,0.33386132,0.62378895,,,,,,,,,
33,33,Leolani2,Fina be from a country,orInstance like cats do person orInstance usually like stop And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country,I did not know that! I am excited to get to know about you!,i  did  not  know ? i  am  excited  to  learn  to  know  more  you,0.634811345,0.7173709933,0.074241705,0.26481175,3,1,3,1,2,2,3,5,5
34,34,Fina,I did not know that! I am excited to get to know about you!,And thus I die What's up? I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you!,What do you want to know?,what  do  you  want  to  know,0.7474836906,0.8596172233,0.9290304,0.9973863,,,,,,,,,
35,35,Leolani2,What do you want to know?,I've told you my name but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know?,I know agent usually want to verb.cognition but I do not know this case,i  know  i  i  respond  a  know .  i  do  not  in  the !,0.2784539321,0.5245793313,0.5525402,0.99571604,1,1,1,1,1,1,1,2,1
36,36,Fina,I know agent usually want to verb.cognition but I do not know this case,Fina? yes Tell me anything I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case,I have a daughter,i  have  a  question,0.7329226434,0.7435866343,0.9973665,0.9967907,,,,,,,,,
37,37,Leolani2,I have a daughter,anything I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I have a daughter,I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have,i  would  like  to  know what  type  of  children ?  of  of  daughter  or  you a  you  have,0.3442535057,0.6157062432,0.5685659,0.99217486,2,1,2,2,3,1,2,2,2
38,38,Fina,I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have,be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have,Her name is Iris,?  name  is  daughter,0.4192556776,0.5116863679,0.9748915,0.82439446,,,,,,,,,
39,39,Leolani2,Her name is Iris,y I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris,If you don't mind me asking. What types can lea name be,if  you  would  mind  me  asking what  type  of  her is ?,0.2959815998,0.6208760353,0.9948092,0.9452235,1,1,1,1,1,1,1,2,2
40,40,Fina,If you don't mind me asking. What types can lea name be,you! What do you want to know? I know agent usually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be,Who is Lea?,that  is  she,0.3229863445,0.4512114922,0.9958697,0.99281156,,,,,,,,,
41,41,Leolani2,Who is Lea?,o you want to know? I know agent usually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea?,I don't know,i  only  know,0.4386050701,0.5572716693,0.99701506,0.9960477,1,1,1,1,1,1,1,5,5
42,42,Fina,I don't know,know? I know agent usually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know,My daughter is a girl,my  daughter  is  a  daughter,0.7136729397,0.715474245,0.9979607,0.9968362,,,,,,,,,
43,43,Leolani2,My daughter is a girl,ually want to verb.cognition but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl,I would like to know. Has a girl experience by a touch?,i  would  like  to  know what  your  good  come  such  a  chance,0.3461569423,0.5092535609,0.9973986,0.99680585,2,1,2,2,1,1,1,3,1
44,44,Fina,I would like to know. Has a girl experience by a touch?,I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch?,Girls experience touch,i  like  by,0.01395826538,0.3932245026,0.9976683,0.99715227,,,,,,,,,
45,45,Leolani2,Girls experience touch,uld like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch,I see,and  would,0,0.3015928045,0.997453,0.99690706,3,1,1,1,4,4,5,5,5
46,46,Fina,I see,ke to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see,Do you want to hear a story?,.  you  want  to  hear  her  little,0.4528921172,0.5693418586,0.99743664,0.996856,,,,,,,,,
47,47,Leolani2,Do you want to hear a story?,ghter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story?,I know agent usually do want to verb.perception but I do not know this case,i  think  i  i  only  according  a  know ?  i  do  not  in  the  story,0.2314255459,0.4720028381,0.9926834,0.9965291,1,1,1,1,1,1,1,2,1
48,48,Fina,I know agent usually do want to verb.perception but I do not know this case,is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case,I have to go,i  want  to  ask,0.4678496383,0.604993403,0.92670494,0.6808794,,,,,,,,,
49,49,Leolani2,I have to go,u don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go,I am glad to have learned something new. I did not know anybody who be to go,i  am  glad  i  have  learned  something . i  do  not  know  anyone  would  wanted  a  a,0.4474271216,0.6483705649,0.3522885,0.7085089,2,1,2,1,1,1,1,3,3
50,50,Fina,I am glad to have learned something new. I did not know anybody who be to go,y daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go,Bye,.,0,0.2417979389,0.1800929,0.74461883,,,,,,,,,
51,51,Leolani2,Bye,ughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye,Why?,.,0,0.1568139941,0.05242515,0.7416939,,,,,,,,,
52,52,Leolani2,Why?,r is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why?,Hey! Who are you? Fina?,?  how  are  you ?,0.1852133641,0.6176809162,0.08103757,0.2835072,,,,,,,,,
53,53,Imme,Hey! Who are you? Fina?,to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina?,Imme,?,0,0.05305238441,0.06860368,0.3740886,,,,,,,,,
54,54,Leolani2,Imme,now. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme,So your name is Imme?,?  what  name ? ?,0.2404518358,0.5590314426,0.06574509,0.037217315,,,,,,,,,
55,55,Imme,So your name is Imme?,ence by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme?,yes,?,0,0.0931686461,0.049875192,0.17524835,,,,,,,,,
56,56,Leolani2,yes,by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes,Would you like to chat? I'll do my best to keep up,would  you  like  to ?  i  try  my  best  to  keep  quiet,0.5668888744,0.6990316523,0.051071912,0.70138174,5,3,5,5,5,5,5,5,5
57,57,Imme,Would you like to chat? I'll do my best to keep up,nt to hear a story? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up,I love chatting,i  enjoyed  you,0.3088796015,0.4922411144,0.44750392,0.68817365,,,,,,,,,
58,58,Leolani2,I love chatting,ry? I know agent usually do want to verb.perception but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting,I just learned something I did not know anything that imme love,i  just  learned  that  i  do  not  know  about  about  i e,0.4598228199,0.7207982664,0.9836426,0.9923688,4,2,5,5,5,5,5,5,4
59,59,Imme,I just learned something I did not know anything that imme love,know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love,What do you love?,what  do  you  think,0.6759995818,0.7440859601,0.94389826,0.99073905,,,,,,,,,
60,60,Leolani2,What do you love?,have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love What do you love?,I may be ignorant bu tI don't know.I am sorry I have no idea,i  must  be  a  but  i  do  i  am  ignorant  i  had  no  clue,0.3441498854,0.5253421739,0.9370247,0.9943393,3,2,3,1,1,1,1,5,5
61,61,Imme,I may be ignorant bu tI don't know.I am sorry I have no idea,know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea,I think you love food,i  hope  i  love  it,0.3198620617,0.5041618943,0.98550284,0.9976696,,,,,,,,,
62,62,Leolani2,I think you love food,o go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food,Let me ask you something. What types can leolani love,let  me  ask  you  this what  food  of  you  eat,0.3917103976,0.7133867681,0.9900606,0.68595,3,2,3,2,2,2,3,3,4
63,63,Imme,Let me ask you something. What types can leolani love,e is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love,You like japanese food,?  love ?  food,0.1029688716,0.3571414612,0.99669623,0.4359722,,,,,,,,,
64,64,Leolani2,You like japanese food,u like to chat? I'll do my best to keep up I love chatting I just learned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food,I am curious. Has leolani ever favorite of a interest?,i  am  wondering can  it  a  been  had  your  food,0.1657216378,0.4323917404,0.9944463,0.27711132,3,2,3,2,2,2,3,3,4
65,65,Imme,I am curious. Has leolani ever favorite of a interest?,ing I just learned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest?,I do not know,i  do  not  know,0.8072638363,0.8072638363,0.9973096,0.9952612,,,,,,,,,
66,66,Leolani2,I do not know,rned something I did not know anything that imme love What do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know,This is news to me. I did not know anybody who be know,that  is  new  to  me i  do  not  know  that  could  i  a,0.3703967281,0.6391650364,0.9971736,0.9928405,2,1,2,1,1,1,1,3,3
67,67,Imme,This is news to me. I did not know anybody who be know,hat do you love? I may be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know,What food do you like?,what  foods  do  you  like,0.5928994536,0.7030355513,0.9979559,0.994916,,,,,,,,,
68,68,Leolani2,What food do you like?,be ignorant bu tI don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like?,But at what cost?,and  at  what  price,0.4753503315,0.66720617,0.9979252,0.9965834,1,1,1,1,1,1,1,2,3
69,69,Imme,But at what cost?,don't know.I am sorry I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost?,Do you like japanese food?,do  you  like  spicy  food,0.5470705032,0.7668716043,0.99799144,0.997132,,,,,,,,,
70,70,Leolani2,Do you like japanese food?,e no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food?,I know agent usually do like adj.pert but I do not know this case,i  think  i  i  i  like  it  but  i  did  not  in  the .,0.2720012649,0.5721930207,0.9941706,0.9970216,1,1,1,1,1,1,1,2,1
71,71,Imme,I know agent usually do like adj.pert but I do not know this case,es can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case,I love japanese food,i  like  the  food,0.5290332809,0.6668060049,0.997547,0.99714553,,,,,,,,,
72,72,Leolani2,I love japanese food,ou like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case I love japanese food,Exciting news! I had never heard about japanese food before!,good ! i  have  never  heard  of  that  food .,0.365048191,0.6604242504,0.9981081,0.9971887,3,1,3,3,4,3,4,5,5
73,73,Imme,Exciting news! I had never heard about japanese food before!,of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before!,What do you like?,what  do  you  think,0.6435933262,0.7222289145,0.99794436,0.99430513,,,,,,,,,
74,74,Leolani2,What do you like?,do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like?,you told me I like japanese food,you  tell  me  you  love  all  food ?,0.3160113389,0.6085583214,0.9977023,0.99702716,5,3,5,5,5,5,4,5,5
75,75,Imme,you told me I like japanese food,did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food,Do you like other things?,ive  you  like  other  food,0.4860016182,0.5842146456,0.9979021,0.99715936,,,,,,,,,
76,76,Leolani2,Do you like other things?,e know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things?,I know agent usually do like adj.all but I do not know this case,i  know  i  usually  do  like  it  but  i  do  not  know  this  case,0.8562244517,0.9281315168,0.99802655,0.9972578,1,1,1,1,1,1,1,2,1
77,77,Imme,I know agent usually do like adj.all but I do not know this case,ese food? I know agent usually do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all but I do not know this case,I do also like other things,i  do  not  like  other  things,0.6884091099,0.7315744931,0.99750966,0.9972789,,,,,,,,,
78,78,Leolani2,I do also like other things,ly do like adj.pert but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all but I do not know this case I do also like other things,If you don't mind me asking. What types of Instance like other things do agent orInstance usually like,if  you  would  mind  me  asking what  kind  of  people  or  other  things ?  you  usually ance  like,0.4471626352,0.7689278912,0.99719965,0.9971448,2,1,2,2,3,1,2,2,2
