Turn,Speaker,Cue,Context,rdf_file,Response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total explicit triples,Total semantic statements,Total sources,Total predicates,Total classes,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Total properties
10,Leolani,Convos are not people,homas? yes Would you like to chat? I'll do my best to keep up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people,,Let me ask you something. Has convos work at institution?," let  me  ask  you ,  do  he  happened  for  all ",0.2817911058664322,0.5241628348827362,0.9981058,0.9950086,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,8157.0,,,,294.0,2985.0,8157.0,5.465326633165829,0.001831543777870586,0.0016997466377047486,0.8838489444543709,-0.11721178900870001,0.0,267.0
11,Thomas,Let me ask you something. Has convos work at institution?, up I like chatting I would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution?,brain_log_2021-12-07-16-30-57.trig,I work at institution, they  work  at  institution ,0.5621985462494195,0.6534298285841942,0.99832064,0.9969726,,,,,,,,,,8196.0,,,,294.0,2999.0,8196.0,5.465821940646882,0.0018231560842718085,0.001708264209384706,0.8885813167847841,-0.11872118374794224,0.0,267.0
12,Leolani,I work at institution,would like to know. What types of Instance like chatting do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution,,Let me ask you something. Has thomas experience touch?, let  me  ask  you  something did  person  had  with ,0.4455779563221667,0.6334620598289702,0.99818295,0.99711967,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,8196.0,,,,294.0,2999.0,8196.0,5.465821940646882,0.0018231560842718085,0.001708264209384706,0.8885813167847841,-0.11872118374794224,0.0,267.0
13,Thomas,Let me ask you something. Has thomas experience touch?,g do person orInstance usually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch?,brain_log_2021-12-07-16-31-46.trig,I have experience touch, i  never  experienced  touch ,0.5818029679358006,0.7466798946261406,0.99779284,0.9972547,,,,,,,,,,8235.0,,,,294.0,3014.0,8235.0,5.46449900464499,0.0018136405591254532,0.0017181178367427733,0.8930304781357196,-0.12041921373307903,0.0,267.0
14,Leolani,I have experience touch,sually like Person likes convos I am curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch,,I am curious. Has thomas own object?, i  am  curious  is  his  experience  touch ,0.2337444658790315,0.519257726413863,0.9963226,0.9971608,4.0,3.0,4.0,2.0,3.0,4.0,2.0,5.0,3.0,8235.0,,,,294.0,3014.0,8235.0,5.46449900464499,0.0018136405591254532,0.0017181178367427733,0.8930304781357196,-0.12041921373307903,0.0,267.0
15,Thomas,I am curious. Has thomas own object?,curious. What types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object?,brain_log_2021-12-07-16-32-25.trig,I own object, has  have  object ,0.2915526946696142,0.6894536018371582,0.9967887,0.99705774,,,,,,,,,,8274.0,,,,294.0,3028.0,8274.0,5.464993394980185,0.0018054157234820563,0.0017318726287080864,0.897823105437768,-0.1222456568742638,0.0,267.0
16,Leolani,I own object, types of noun orInstance like convos do tops orInstance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object,,Interesting! I am excited to get to know about you!,. i  am  excited  to  learn  to  know  more  th ,0.5233535841107368,0.6299969404935837,0.994314,0.99669886,3.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,8274.0,,,,294.0,3028.0,8274.0,5.464993394980185,0.0018054157234820563,0.0017318726287080864,0.897823105437768,-0.1222456568742638,0.0,267.0
17,Thomas,Interesting! I am excited to get to know about you!,ance usually like Convos are not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you!,,What do you want to know?,what  do  you  want  to  know ,0.7478698988755544,0.8749201595783234,0.99765635,0.97579944,,,,,,,,,,8274.0,,,,294.0,3028.0,8274.0,5.464993394980185,0.0018054157234820563,0.0017318726287080864,0.897823105437768,-0.1222456568742638,0.0,267.0
18,Leolani,What do you want to know?,re not people Let me ask you something. Has convos work at institution? I work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know?,,"I know agent usually want to verb.cognition, but I do not know this case",i  know  i  i  refers  the  know  but  i  do  not  in  the . ,0.3349097182175943,0.580307954124042,0.99081814,0.9959911,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,8274.0,,,,294.0,3028.0,8274.0,5.464993394980185,0.0018054157234820563,0.0017318726287080864,0.897823105437768,-0.1222456568742638,0.0,267.0
19,Thomas,"I know agent usually want to verb.cognition, but I do not know this case"," work at institution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case",brain_log_2021-12-07-16-33-29.trig,I like sushi,.  like  to ,0.1166757146517435,0.3274491528669993,0.99703705,0.71128774,,,,,,,,,,8313.0,,,,294.0,3042.0,8313.0,5.465483234714004,0.0017972651215764565,0.0017504866957609156,0.9028422886434714,-0.12413841450507786,0.0,267.0
20,Leolani,I like sushi,"itution Let me ask you something. Has thomas experience touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi",,Exciting news! I did not know anything that thomas like, good ! i  do  not  know  either  about  i  was ,0.2139957710867747,0.5995532363653183,0.9961485,0.99704695,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,8313.0,,,,294.0,3042.0,8313.0,5.465483234714004,0.0017972651215764565,0.0017504866957609156,0.9028422886434714,-0.12413841450507786,0.0,267.0
21,Thomas,Exciting news! I did not know anything that thomas like,"touch? I have experience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like",brain_log_2021-12-07-16-34-10.trig,I also like cats, i  also  like  sushi ,0.3303871788084507,0.5767174251377583,0.9978199,0.99647427,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
22,Leolani,I also like cats,"erience touch I am curious. Has thomas own object? I own object Interesting! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats",,If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like, if  you  do  mind  me  asking what  kind  of  fish  are  of ? ?  you ?  you  like ,0.3483661573587192,0.6030531273119979,0.99743396,0.9965766,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
23,Thomas,If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like,"about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like",,stop,? ,0.0,0.9796500205993652,0.45007205,0.90479493,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
24,Leolani,stop," you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop",,"And thus, I die",?  before  they  asked ,0.0072008804418146,0.3748753909021616,0.33897907,0.91343313,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
25,Leolani,"And thus, I die","u want to know? I know agent usually want to verb.cognition, but I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die",,"What's up? I've told you my name, but what about yours? Thomas?",.  ok i  told  you  my  story  but  what  is  th hello ,0.318861398845911,0.5683024612565836,0.99387395,0.9551045,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
26,Fina,"What's up? I've told you my name, but what about yours? Thomas?"," I do not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas?",,Fina,? ,0.0,0.1005401909351348,0.9765309,0.99194926,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
27,Leolani,Fina," not know this case I like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina",,So your name is Fina?,?  your  name ? ? ,0.3665377527475357,0.59308612793684,0.9951629,0.99323916,,,,,,,,,,8352.0,,,,294.0,3056.0,8352.0,5.465968586387435,0.0017891877533183095,0.001769624635354512,0.9079295597930082,-0.12603444626310836,0.0,267.0
28,Fina,So your name is Fina?,"like sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina?",brain_log_2021-12-07-16-35-24.trig,yes,? ,0.0,0.0520336702466011,0.98492795,0.9936122,,,,,,,,,,8403.0,,,,294.0,3075.0,8403.0,5.465365853658537,0.0017779329387308186,0.0017827788372892163,0.9143892153793611,-0.1269433180883778,0.0,267.0
29,Leolani,yes," sushi Exciting news! I did not know anything that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes",,"Tell me anything, I love learning things"," tell  me ,  i  love  cat ! ",0.4980039479477064,0.5766709212745939,0.9931575,0.9945762,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,8403.0,,,,294.0,3075.0,8403.0,5.465365853658537,0.0017779329387308186,0.0017827788372892163,0.9143892153793611,-0.1269433180883778,0.0,267.0
30,Fina,"Tell me anything, I love learning things","hing that thomas like I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things",brain_log_2021-12-07-16-36-18.trig,I am from Bulgaria, i  learned  so  you ,0.2341737598180771,0.4606836959719658,0.12726407,0.99473697,,,,,,,,,,8443.0,,,,294.0,3089.0,8443.0,5.466494011006798,0.0017702376978648963,0.0017938468042751957,0.919021930091758,-0.12850570315576337,0.0,267.0
31,Leolani,I am from Bulgaria,"ke I also like cats If you don't mind me asking. What types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria",,I would like to know. What types can fina be from, and  would  like  to  know what  country  of  you  be ? ,0.3427888791669499,0.629472862590443,0.042030424,0.95796835,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,8443.0,,,,294.0,3089.0,8443.0,5.466494011006798,0.0017702376978648963,0.0017938468042751957,0.919021930091758,-0.12850570315576337,0.0,267.0
32,Fina,I would like to know. What types can fina be from,"hat types of animal orInstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from",brain_log_2021-12-07-16-37-34.trig,Fina be from a country, or ?  from  another  different ,0.159433114528656,0.4368646740913391,0.07534289,0.87711906,,,,,,,,,,8483.0,,,,294.0,3103.0,8483.0,5.467611988398324,0.0017626086358472999,0.0018047407646457612,0.9236688547660827,-0.12988152589879018,0.0,267.0
33,Leolani,Fina be from a country,"nstance like cats do person orInstance usually like stop And thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country",,I did not know that! I am excited to get to know about you!, i  did  not  know ? i  am  excited  to  learn  to  know  more  you ,0.6187526934913227,0.7169319029365268,0.03437051,0.30137092,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,8483.0,,,,294.0,3103.0,8483.0,5.467611988398324,0.0017626086358472999,0.0018047407646457612,0.9236688547660827,-0.12988152589879018,0.0,267.0
34,Fina,I did not know that! I am excited to get to know about you!," thus, I die What's up? I've told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you!",,What do you want to know?,what  do  you  want  to  know ,0.7470532159010569,0.8710556129614512,0.40873942,0.9965038,,,,,,,,,,8483.0,,,,294.0,3103.0,8483.0,5.467611988398324,0.0017626086358472999,0.0018047407646457612,0.9236688547660827,-0.12988152589879018,0.0,267.0
35,Leolani,What do you want to know?,"ve told you my name, but what about yours? Thomas? Fina So your name is Fina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know?",,"I know agent usually want to verb.cognition, but I do not know this case",i  know  i  i  refers  a  know  but  i  do  not  in  the . ,0.3353745191624122,0.5816142080085618,0.33550015,0.9936774,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,8483.0,,,,294.0,3103.0,8483.0,5.467611988398324,0.0017626086358472999,0.0018047407646457612,0.9236688547660827,-0.12988152589879018,0.0,267.0
36,Fina,"I know agent usually want to verb.cognition, but I do not know this case","ina? yes Tell me anything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case",brain_log_2021-12-07-16-38-47.trig,I have a daughter, i  have  a  question ,0.7309402525424957,0.740168621763587,0.9980642,0.993678,,,,,,,,,,8522.0,,,,294.0,3118.0,8522.0,5.4663245670301475,0.0017537133676708845,0.0018190373797417707,0.9277146860101595,-0.13141021395856417,0.0,267.0
37,Leolani,I have a daughter,"nything, I love learning things I am from Bulgaria I would like to know. What types can fina be from Fina be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter",,I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have, i  would  like  to  know what  type  of  children ?  of  of  parent  or  you a a  have ,0.3455341959165202,0.5916402315100034,0.5271557,0.9904073,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,8522.0,,,,294.0,3118.0,8522.0,5.4663245670301475,0.0017537133676708845,0.0018190373797417707,0.9277146860101595,-0.13141021395856417,0.0,267.0
38,Fina,I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have,"be from a country I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have",brain_log_2021-12-07-16-39-36.trig,Her name is Iris,?  name  is  daughter ,0.434015441685915,0.5848139654844999,0.9878555,0.71859443,,,,,,,,,,8564.0,,,,294.0,3135.0,8564.0,5.46347687400319,0.0017432919189544322,0.0018216566336313885,0.9320422305732347,-0.13229436950301085,0.0,267.0
39,Leolani,Her name is Iris," I did not know that! I am excited to get to know about you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris",,If you don't mind me asking. What types can lea name be, if  you  would  mind  me  asking what  type  of  her is ? ,0.292571688691775,0.6173256722589334,0.9959806,0.76024747,2.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,8564.0,,,,294.0,3135.0,8564.0,5.46347687400319,0.0017432919189544322,0.0018216566336313885,0.9320422305732347,-0.13229436950301085,0.0,267.0
40,Fina,If you don't mind me asking. What types can lea name be,"you! What do you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be",,Who is Lea?, that  is  she ,0.3220842679341634,0.458937073747317,0.99671185,0.9946169,,,,,,,,,,8564.0,,,,294.0,3135.0,8564.0,5.46347687400319,0.0017432919189544322,0.0018216566336313885,0.9320422305732347,-0.13229436950301085,0.0,267.0
41,Leolani,Who is Lea?," you want to know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea?",,I don't know, i  only  know ,0.4317325353622436,0.5606393218040466,0.99680763,0.99631894,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,8564.0,,,,294.0,3135.0,8564.0,5.46347687400319,0.0017432919189544322,0.0018216566336313885,0.9320422305732347,-0.13229436950301085,0.0,267.0
42,Fina,I don't know,"know? I know agent usually want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know",brain_log_2021-12-07-16-40-45.trig,My daughter is a girl, my  daughter  is  a  daughter ,0.7194154664874077,0.7201565876603127,0.99806774,0.9965918,,,,,,,,,,8606.0,,,,294.0,3151.0,8606.0,5.462392891145668,0.0017340929813160853,0.0018249249138952235,0.9367454429573266,-0.13313844962605023,0.0,267.0
43,Leolani,My daughter is a girl,"ally want to verb.cognition, but I do not know this case I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl",,I would like to know. Has a girl experience by a touch?, i  would  like  to  know what  your  good  come  such  a  chance ,0.345466202745835,0.5174080642561117,0.9974409,0.9967109,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,8606.0,,,,294.0,3151.0,8606.0,5.462392891145668,0.0017340929813160853,0.0018249249138952235,0.9367454429573266,-0.13313844962605023,0.0,267.0
44,Fina,I would like to know. Has a girl experience by a touch?, I have a daughter I would like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch?,brain_log_2021-12-07-16-42-24.trig,Girls experience touch, i  like  by ,0.0139582653840382,0.393224502603213,0.9976683,0.99715227,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
45,Leolani,Girls experience touch,uld like to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch,,I see, and  would ,0.0,0.3015928044915199,0.997453,0.99690706,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
46,Fina,I see,ke to know. What types of daughter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see,,Do you want to hear a story?,.  you  want  to  hear  her  little ,0.4528921172022819,0.5693418585828373,0.99743664,0.996856,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
47,Leolani,Do you want to hear a story?,ghter orInstance like a daughter do person orInstance usually have Her name is Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story?,,"I know agent usually do want to verb.perception, but I do not know this case",i  know  i  i  only  according  a  know  but  i  do  not  in  the  story ,0.2839584848533074,0.4956967244545618,0.9909615,0.9964649,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
48,Fina,"I know agent usually do want to verb.perception, but I do not know this case","s Iris If you don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case",,I have to go, i  want  to  ask ,0.4474447779357433,0.5978412143886089,0.9494801,0.68117297,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
49,Leolani,I have to go," don't mind me asking. What types can lea name be Who is Lea? I don't know My daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go",,I am glad to have learned something new. I did not know anybody who be to go, i  am  glad  i  have  learned  something . i  do  not  know  anyone  would  wanted  a  a ,0.4464074320652905,0.6495582281666643,0.36247465,0.96621877,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
50,Fina,I am glad to have learned something new. I did not know anybody who be to go," daughter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go",,Bye,. ,0.0,0.254946619272232,0.24997182,0.6832939,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
